,,,,,,,,,,,,,,,,,,FY12,FY13,FY14,,,FY15,,,FY16,,,FY17,,,FY18,,,,FY19,,,FY20,,,,FY21 (Covid),,,FY22,,,
STATION, FY1995 , FY1996 , FY1997 , FY1998 , FY1999 , FY2000 , FY2001 , FY2002 , FY2003 , FY2004 , FY2005 , FY2006 , FY2007 , FY2008 , FY2009 , FY2010 , FY2011 ,Spring 2012,Spring 2013,Summer 2013,Fall 2013,Spring 2014,Summer 2014,Fall 2014,Spring 2015,Summer 2015,Fall 2015,Spring 2016,Summer 2016,Fall 2016,Spring 2017,Summer 2017,Fall 2017,Spring 2018 (pre-Courthouse),Spring 2018 (w/Courthouse),Summer 2018,Fall 2018,Spring 2019,Summer 2019,Fall 2019,Spring 2020 (thru April 11),April 2020 (Covid),Summer 2020,Fall 2020,Spring 2021,Summer 2021,Fall 2021 (Sept21),Mid Coast (Nov 21),Spring 2022
 City College ,"3,752","4,198","4,602","5,232","5,561","5,787","5,106","5,729","5,381","5,005","5,023","5,266","5,300","6,022","7,235","6,992","7,365","  4,555 ","5,954","4,900","5,645","5,914","5,005","6,040","6,713","6,072","6,687","6,234","5,569","5,594","5,918","5,284","5,837","6,074","6,116","5,499","5,724","5,675","5,103","6,279","  4,614 ","  2,197 ","  2,577 ","  2,766 ","  2,732 ","  3,544 ",,"  3,703 ","  4,418 "
 Civic Center ,"2,857","2,977","3,300","3,912","4,177","4,611","4,372","4,353","4,672","4,297","4,348","3,743","3,858","4,000","3,940","3,509","3,562","  1,929 ","3,881","3,148","3,252","3,167","3,065","3,174","3,475","3,389","3,483","3,414","3,026","2,993","3,052","3,260","3,111","3,349","3,331","2,893","2,661","2,777","2,638","2,853","  2,094 ",  965 ,"  1,085 ","  1,168 ","  1,257 ","  1,715 ",,"  1,704 ","  2,041 "
 Clairemont Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  166 ,  224 
 Convention Center ,272,327,424,463,568,468,757,565,576,554,641,504,502,578,645,459,409,  139 ,628,829,664,686,925,675,662,815,622,638,788,596,621,830,647,637,637,739,687,659,843,682,  519 ,  269 ,  318 ,  334 ,  328 ,  464 ,,  453 ,  623 
 County Center/Little Italy ,434,394,634,664,707,824,768,802,801,854,885,881,"1,008",909,"1,109","1,056",972,  781 ,"1,153","1,149","1,095","1,126","1,321","1,156","1,147","1,181","1,025",986,"1,108",944,"1,008","1,105",943,979,981,"1,048",968,989,"1,100","1,024",  771 ,  385 ,  464 ,  531 ,  538 ,  735 ,,"  1,020 ","  1,313 "
 Courthouse Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899,909,937,946,"1,046",  793 ,  396 ,  416 ,  474 ,  458 ,  572 ,,  549 ,  673 
 E St ,"1,529","1,643","1,763","1,877","2,097","2,450","2,334","2,247","2,208","2,225","2,306","2,186","2,188","2,421","2,430","2,259","2,316","  1,682 ","2,124","2,023","1,989","2,065","2,026","2,099","2,546","2,516","2,451","2,427","2,361","2,163","2,342","2,278","2,244","2,338","2,346","2,297","2,266","2,348","2,349","2,460","  1,768 ",  906 ,"  1,083 ","  1,242 ","  1,244 ","  1,536 ",,"  1,568 ","  1,824 "
 El Cajon ,"1,995","2,120","2,103","2,360","2,519","2,614","2,657","2,376","2,746","2,420","2,571","3,211","3,208","3,457","3,642","3,380","3,762","  3,101 ","5,105","4,822","4,981","4,799","4,757","4,689","4,386","4,246","4,129","3,917","3,805","3,634","3,745","3,643","3,687","3,691","3,701","3,153","3,124","3,083","3,075","3,112","  2,279 ","  1,122 ","  1,295 ","  1,412 ","  1,377 ","  1,622 ",,"  1,575 ","  1,912 "
 Encanto/62nd St ,878,817,856,"1,068","1,068","1,212","1,292","1,167","1,190","1,092",919,"1,160","1,265","1,311","1,487","1,438","1,657",  950 ,"1,808","1,644","1,770","1,728","1,666","1,734","1,676","1,557","1,572","1,568","1,358","1,335","1,335","1,274","1,307","1,326","1,331","1,263","1,305","1,320","1,199","1,407","  1,008 ",  484 ,  513 ,  585 ,  550 ,  683 ,,  695 ,  890 
 Euclid Ave ,"1,346","1,413","1,430","1,847","1,914","2,136","2,120","2,140","2,194","2,229","1,962","2,213","2,378","2,482","2,607","2,576","2,806","  1,781 ","3,361","3,164","3,357","3,293","3,237","3,223","3,038","2,920","2,850","2,870","2,556","2,499","2,592","2,453","2,507","2,503","2,509","2,420","2,452","2,416","2,356","2,605","  1,940 ","  1,013 ","  1,117 ","  1,265 ","  1,161 ","  1,431 ",,"  1,401 ","  1,792 "
 Executive Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  513 ,  687 
 Fashion Valley ,,,,,"1,737","1,918","2,099","1,754","1,721","1,656","1,943","2,195","2,184","2,395","2,409","2,337","2,214","  2,334 ","2,932","3,165","3,156","2,906","3,190","2,902","2,662","2,786","2,537","2,273","2,410","2,164","2,095","2,244","2,052","1,953","1,958","2,032","2,069","1,971","2,082","2,274","  1,524 ",  563 ,  765 ,  871 ,  916 ,"  1,267 ",,"  1,272 ","  1,523 "
 Fenton Parkway ,,,,,,,137,212,319,363,414,497,580,626,691,568,526,  593 ,753,756,756,700,693,722,691,792,783,743,672,666,636,587,612,579,580,546,577,583,524,662,  460 ,  178 ,  200 ,  220 ,  252 ,  340 ,,  361 ,  430 
