objectid,stop_uid,stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_agncy,wheelchair,intersec,stop_place,parent_sta,lat,lng
3597,MTS_10968,10968,10968,Rancho Mission Rd & Friars Rd,32.7884832,-117.1083559,MTS,1,M-Street-N/B,,,32.78847843,-117.108344
3598,MTS_13398,13398,13398,Rancho Mission Rd & San Diego Mission Rd,32.78525959,-117.1102735,MTS,1,F-N/B,sdmrcm,,32.78525482,-117.1102616
3599,MTS_13404,13404,13404,Rancho Mission Rd & San Diego Mission Rd,32.78444723,-117.1104966,MTS,1,F-S/B,,,32.78444246,-117.1104847
3600,MTS_10591,10591,10591,Rancho Penasquitos Bl & Calle De Las Rosas,32.95605472,-117.1098227,MTS,1,F-E/B,,,32.95604993,-117.1098108
3601,MTS_11348,11348,11348,Rancho Penasquitos Bl & Calle De Las Rosas,32.95668227,-117.1100896,MTS,1,F-W/B,,,32.95667748,-117.1100777
3602,MTS_12120,12120,12120,Rancho Penasquitos Bl & Carmel Mountain Rd,32.95900919,-117.1149701,MTS,1,F-E/B,,,32.9590044,-117.1149582
3603,MTS_12498,12498,12498,Rancho Penasquitos Bl & Carmel Mountain Rd,32.9594148,-117.1151371,MTS,1,N-W/B,,,32.95941001,-117.1151252
3604,MTS_12124,12124,12124,Rancho Penasquitos Bl & Paseo Montril,32.95116341,-117.1076983,MTS,1,F-S/B,pasran,,32.95115862,-117.1076864
3605,MTS_12510,12510,12510,Rancho Penasquitos Bl & Paseo Montril,32.95142615,-117.1074629,MTS,1,N-N/B,pasran,,32.95142136,-117.107451
3606,MTS_12122,12122,12122,Rancho Penasquitos Bl & Via Del Sud,32.95310171,-117.1084018,MTS,1,F-S/B,,,32.95309692,-117.1083899
3607,MTS_12853,12853,12853,Rancho Penasquitos Bl & Via Del Sud,32.95378109,-117.1083302,MTS,1,F-N/B,,,32.9537763,-117.1083183
3608,MTS_41234,41234,41234,Rancho San Diego Towne Center & Transit Center,32.73876901,-116.9410384,MTS,2,M-Special_Loc,rantow,,32.73876423,-116.9410265
3609,MTS_98003,98003,98003,Rango Wy & Cts Yard,33.22074668,-116.3366759,MTS,2,M-Street-W/B,,,33.22074182,-116.3366641
3610,MTS_12662,12662,12662,Regents Rd & Arriba St,32.86167864,-117.2226613,MTS,1,F-N/B,,,32.86167386,-117.2226493
3611,MTS_99852,99852,99852,Regents Rd & Governor Dr,32.85119447,-117.2171527,MTS,1,F-S/B,,,32.85118969,-117.2171408
3612,MTS_11569,11569,11569,Regents Rd & Luna Av,32.83095569,-117.2159212,MTS,1,F-S/B,,,32.83095092,-117.2159092
3613,MTS_11915,11915,11915,Regents Rd & Nobel Dr,32.86723944,-117.2193776,MTS,1,F-S/B,regnob,,32.86723466,-117.2193657
3614,MTS_92201,92201,92201,Reo Dr & Albemarle St,32.67645882,-117.0655742,MTS,1,F-S/B,,,32.67645406,-117.0655623
3615,MTS_60809,60809,60809,Reo Dr & Bolivar St,32.67860336,-117.0675407,MTS,0.00E+00,F-S/B,,,32.6785986,-117.0675288
3616,MTS_13184,13184,13184,Reynard Wy & 2717 (Opp),32.73383106,-117.1695022,MTS,0.00E+00,M-Street-S/B,,,32.7338263,-117.1694903
3617,MTS_13099,13099,13099,Reynard Wy & 2850 (Opp),32.73536904,-117.1692939,MTS,0.00E+00,M-Street-N/B,,,32.73536428,-117.169282
3618,MTS_11619,11619,11619,Reynard Wy & Arroyo Dr,32.73260234,-117.1698894,MTS,0.00E+00,N-S/B,stamap,,32.73259758,-117.1698775
3619,MTS_12004,12004,12004,Reynard Wy & Curlew St,32.74016599,-117.1691878,MTS,0.00E+00,F-S/B,,,32.74016123,-117.1691759
3620,MTS_12739,12739,12739,Reynard Wy & Curlew St,32.74104659,-117.1690441,MTS,0.00E+00,F-N/B,,,32.74104183,-117.1690322
3621,MTS_12404,12404,12404,Reynard Wy & Eagle St,32.73702832,-117.169773,MTS,0.00E+00,N-N/B,,,32.73702356,-117.1697611
3622,MTS_11621,11621,11621,Reynard Wy & Otsego Dr,32.74225617,-117.1704877,MTS,0.00E+00,N-S/B,,,32.74225141,-117.1704758
3623,MTS_12735,12735,12735,Reynard Wy & Otsego Dr,32.74249549,-117.170461,MTS,0.00E+00,F-N/B,,,32.74249073,-117.1704491
3624,MTS_11998,11998,11998,Reynard Wy & Redwood St,32.7373374,-117.1699746,MTS,0.00E+00,F-S/B,,,32.73733264,-117.1699627
3625,MTS_75052,75052,75052,Rio Vista Station,32.77363297,-117.141967,MTS,0.00E+00,,rioS,rioS,32.7736282,-117.1419551
3626,MTS_75053,75053,75053,Rio Vista Station,32.77362089,-117.1416989,MTS,0.00E+00,,rioS,rioS,32.77361612,-117.1416869
3627,MTS_11893,11893,11893,Rosecrans St & Armada Pl,32.71785207,-117.2359258,MTS,0.00E+00,F-W/B,,,32.71784731,-117.2359139
3628,MTS_12648,12648,12648,Rosecrans St & Bessemer St,32.7191939,-117.2341363,MTS,0.00E+00,F-E/B,,,32.71918914,-117.2341244
3629,MTS_12654,12654,12654,Rosecrans St & Canon St,32.72163854,-117.2315722,MTS,1,F-E/B,roscan,,32.72163378,-117.2315603
3630,MTS_96017,96017,96017,Rosecrans St & Canon St,32.7213324,-117.23205,MTS,1,F-W/B,roscan,,32.72132764,-117.2320381
3631,MTS_11557,11557,11557,Rosecrans St & Carleton St,32.72343208,-117.2303468,MTS,1,N-W/B,,,32.72342732,-117.2303349
3632,MTS_11916,11916,11916,Rosecrans St & Curtis St,32.73862072,-117.2174326,MTS,1,F-W/B,,,32.73861596,-117.2174207
3633,MTS_99865,99865,99865,Rosecrans St & Farragut Rd,32.73484105,-117.2202886,MTS,1,F-E/B,,,32.73483629,-117.2202767
3634,MTS_11560,11560,11560,Rosecrans St & Garrison St,32.72581745,-117.2283151,MTS,1,N-W/B,,,32.72581269,-117.2283032
3635,MTS_12331,12331,12331,Rosecrans St & Garrison St,32.72532999,-117.2284365,MTS,0.00E+00,N-E/B,,,32.72532523,-117.2284246
3636,MTS_11568,11568,11568,Rosecrans St & Goldsmith St,32.74146805,-117.2149955,MTS,1,N-W/B,,,32.74146329,-117.2149836
3637,MTS_99868,99868,99868,Rosecrans St & Ibsen St,32.74231181,-117.2139445,MTS,1,M-Street-E/B,,,32.74230705,-117.2139326
3638,MTS_12333,12333,12333,Rosecrans St & Ingelow St,32.72660567,-117.2273516,MTS,1,N-E/B,,,32.72660091,-117.2273397
3639,MTS_12315,12315,12315,Rosecrans St & Kellogg St,32.70773797,-117.2389531,MTS,0.00E+00,M-Street-N/B,,,32.70773321,-117.2389412
3640,MTS_11892,11892,11892,Rosecrans St & Kona Wy,32.71611918,-117.2364331,MTS,2,M-Street-W/B,,,32.71611442,-117.2364212
3641,MTS_12321,12321,12321,Rosecrans St & Kona Wy,32.71718418,-117.2359249,MTS,2,M-Street-E/B,,,32.71717942,-117.2359129
3642,MTS_11575,11575,11575,Rosecrans St & Kurtz St,32.7527787,-117.2036246,MTS,1,N-W/B,,,32.75277394,-117.2036127
3643,MTS_12661,12661,12661,Rosecrans St & Laning Rd,32.73253328,-117.2222566,MTS,1,F-E/B,,,32.73252852,-117.2222447
3644,MTS_11545,11545,11545,Rosecrans St & Lawrence St,32.7096454,-117.2386169,MTS,1,N-S/B,,,32.70964064,-117.238605
3645,MTS_12317,12317,12317,Rosecrans St & Lawrence St,32.70941535,-117.2385135,MTS,1,N-N/B,,,32.70941059,-117.2385016
3646,MTS_12350,12350,12350,Rosecrans St & Loma Square,32.74854005,-117.2068735,MTS,1,M-Street-E/B,roslom,,32.74853529,-117.2068616
3647,MTS_12665,12665,12665,Rosecrans St & Lytton St,32.74409355,-117.2127997,MTS,1,F-W/B,,,32.74408879,-117.2127877
3648,MTS_13180,13180,13180,Rosecrans St & Lytton St,32.74445596,-117.2121467,MTS,1,F-E/B,,,32.7444512,-117.2121347
3649,MTS_11546,11546,11546,Rosecrans St & McCall St,32.71059553,-117.2383805,MTS,0.00E+00,N-S/B,,,32.71059077,-117.2383686
3650,MTS_12640,12640,12640,Rosecrans St & McCall St,32.7105309,-117.238214,MTS,0.00E+00,F-N/B,,,32.71052614,-117.238202
3651,MTS_10802,10802,10802,Rosecrans St & Midway Dr,32.75063385,-117.2055302,MTS,1,M-Street-S/B,rosmid,,32.75062909,-117.2055182
3652,MTS_11173,11173,11173,Rosecrans St & Midway Dr,32.74938963,-117.2064827,MTS,1,F-W/B,rosmid,,32.74938487,-117.2064708
3653,MTS_11928,11928,11928,Rosecrans St & N Evergreen St,32.74705914,-117.209635,MTS,1,F-W/B,,,32.74705438,-117.209623
3654,MTS_12669,12669,12669,Rosecrans St & N Evergreen St,32.74723366,-117.2087522,MTS,1,F-E/B,,,32.7472289,-117.2087403
3655,MTS_11906,11906,11906,Rosecrans St & Nimitz Bl,32.72893324,-117.2253223,MTS,1,F-E/B,rosni1,,32.72892848,-117.2253104
3656,MTS_12335,12335,12335,Rosecrans St & Nimitz Bl,32.72825808,-117.2262416,MTS,2,F-W/B,rosnim,,32.72825332,-117.2262297
3657,MTS_12337,12337,12337,Rosecrans St & Oliphant St,32.7306378,-117.2242193,MTS,1,N-W/B,,,32.73063304,-117.2242074
3658,MTS_11890,11890,11890,Rosecrans St & Owen St,32.71226477,-117.2379278,MTS,0.00E+00,F-S/B,,,32.71226001,-117.2379159
3659,MTS_12319,12319,12319,Rosecrans St & Owen St,32.7122716,-117.2377621,MTS,2,N-N/B,,,32.71226684,-117.2377501
3660,MTS_12338,12338,12338,Rosecrans St & Poe St,32.73087264,-117.2237179,MTS,1,M-Street-E/B,,,32.73086788,-117.2237059
3661,MTS_11891,11891,11891,Rosecrans St & Qualtrough St,32.71407864,-117.2372621,MTS,0.00E+00,M-Street-W/B,,,32.71407388,-117.2372502
3662,MTS_12643,12643,12643,Rosecrans St & Qualtrough St,32.71422373,-117.2369906,MTS,2,F-E/B,,,32.71421897,-117.2369787
3663,MTS_99867,99867,99867,Rosecrans St & Roosevelt Rd,32.73947008,-117.216372,MTS,1,F-E/B,,,32.73946532,-117.2163601
3664,MTS_11910,11910,11910,Rosecrans St & Russell St,32.73207939,-117.2230028,MTS,1,F-W/B,,,32.73207463,-117.2229909
3665,MTS_12657,12657,12657,Rosecrans St & Shelter Island Dr,32.72282,-117.2305871,MTS,1,F-E/B,,,32.72281524,-117.2305752
3666,MTS_12675,12675,12675,Rosecrans St & Sports Arena Bl,32.75099449,-117.2047437,MTS,1,N-E/B,rosmid,,32.75098973,-117.2047318
3667,MTS_11897,11897,11897,Rosecrans St & Talbot St,32.72006176,-117.2331868,MTS,2,F-W/B,,,32.720057,-117.2331749
