Neighborhood,Homicide,Kidnapping/Abduction,Sexual Assault,Aggravated Assault,Simple Assault,Intimidation,Other Sex Offenses,Robbery,Arson,Burglary/Breaking & Entering,Larceny,Theft From Motor Vehicle,Motor Vehicle Theft,Fraud/Counterfeiting,Stolen Property Offenses,Vandalism,Drug/Narcotic Offenses,Pornography/Obscene Material,Gambling Offenses,Prostitution,Weapon Law Violations,Animal Cruelty
ADAMS NORTH,0.0,0.33,0.5,0.66,1.49,0.0,0.0,0.33,0.17,1.0,6.48,2.82,1.0,1.99,0.17,2.16,0.83,0.0,0.0,0.0,0.5,0.0
ALLIED GARDENS,0.0,0.0,0.16,0.73,2.04,0.33,0.0,0.0,0.08,1.14,3.91,1.47,1.38,2.77,0.08,2.44,0.65,0.0,0.0,0.0,0.24,0.0
ALTA VISTA,0.0,0.0,0.0,2.59,2.59,0.0,0.0,0.0,0.0,0.37,0.74,0.37,0.37,0.74,0.0,0.74,0.0,0.0,0.0,0.0,0.37,0.0
AZALEA/HOLLYWOOD PARK,0.0,0.0,1.22,4.56,4.87,0.91,0.0,0.0,0.0,0.61,4.87,2.13,3.35,1.83,0.91,4.56,6.39,0.0,0.3,0.0,0.91,0.0
BALBOA PARK,2.13,4.26,21.32,100.21,91.68,21.32,2.13,12.79,4.26,14.93,93.82,21.32,8.53,8.53,2.13,74.63,151.39,0.0,0.0,0.0,25.59,0.0
BARRIO LOGAN,0.0,0.75,0.92,7.43,5.09,1.42,0.0,1.42,0.17,1.42,4.26,2.42,3.84,1.84,0.67,5.26,12.77,0.0,0.0,1.67,2.42,0.0
BAY HO,0.0,0.0,0.08,1.52,2.32,0.4,0.0,0.0,0.0,1.2,3.83,2.4,1.92,1.6,0.0,2.8,1.12,0.0,0.0,0.0,0.08,0.0
BAY PARK,0.06,0.11,0.06,2.19,3.31,0.67,0.0,0.17,0.0,1.35,4.43,2.13,2.41,2.69,0.34,3.54,2.64,0.06,0.0,0.0,0.34,0.0
BAY TERRACES,0.0,0.18,0.28,2.22,2.86,0.49,0.0,0.25,0.04,0.39,2.75,2.12,2.26,1.73,0.14,1.97,0.81,0.0,0.0,0.0,0.39,0.0
BIRDLAND,0.0,0.35,1.73,4.84,10.38,0.87,0.0,0.0,0.17,0.87,3.11,2.08,2.77,2.42,0.17,5.71,1.21,0.0,0.0,0.0,0.17,0.0
BLACK MOUNTAIN RANCH,0.0,0.0,0.22,0.14,1.51,0.22,0.0,0.07,0.0,0.14,2.37,0.36,0.22,1.8,0.0,0.86,0.0,0.07,0.0,0.0,0.0,0.0
BORDER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BROADWAY HEIGHTS,0.0,0.0,4.13,2.07,8.26,0.0,0.0,0.0,0.0,2.07,6.2,0.0,8.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BURLINGAME,0.0,0.0,0.0,2.47,1.23,0.0,0.0,0.0,0.0,1.23,4.94,2.47,2.47,2.47,0.0,4.94,1.23,0.0,0.0,0.0,0.0,0.0
CARMEL MOUNTAIN,0.0,0.09,0.34,0.94,2.48,0.51,0.0,0.26,0.0,1.37,19.09,2.4,1.8,2.31,0.0,3.17,0.94,0.0,0.0,0.0,0.17,0.0
CARMEL VALLEY,0.02,0.07,0.05,0.29,1.12,0.24,0.0,0.04,0.0,0.78,3.76,1.1,0.74,1.36,0.11,1.07,0.13,0.04,0.0,0.0,0.04,0.0
CASTLE,0.0,0.57,1.02,3.86,7.6,2.72,0.0,0.79,0.0,1.25,3.52,1.25,1.47,3.06,0.11,3.97,3.4,0.11,0.0,0.0,1.02,0.0
CHEROKEE POINT,0.0,0.19,1.31,3.19,3.56,1.12,0.0,0.75,0.0,1.69,6.0,1.69,1.31,1.69,0.37,6.93,8.43,0.0,0.0,0.0,1.31,0.0
CHOLLAS CREEK,0.0,0.23,0.45,4.76,6.11,0.68,0.0,0.45,0.0,1.36,1.81,1.81,2.04,1.81,0.23,4.53,4.53,0.23,0.0,0.0,0.68,0.0
CHOLLAS VIEW,0.0,1.06,1.6,7.98,8.77,2.66,0.0,0.8,0.53,0.8,7.18,2.13,5.85,2.13,1.06,6.38,6.12,0.0,0.0,0.27,1.33,0.0
CLAIREMONT MESA EAST,0.04,0.15,0.19,1.72,4.17,0.42,0.0,0.34,0.04,0.8,6.23,2.1,1.84,2.37,0.65,2.83,2.91,0.0,0.0,0.04,0.42,0.0
CLAIREMONT MESA WEST,0.0,0.0,0.2,1.64,1.84,0.2,0.0,0.2,0.1,0.61,6.45,1.13,1.23,1.95,0.1,1.84,3.07,0.0,0.0,0.0,0.1,0.0
COLINA DEL SOL,0.09,0.37,0.64,6.97,9.91,1.38,0.0,1.56,0.92,1.93,3.3,2.02,2.75,1.74,0.46,6.05,8.99,0.09,0.18,0.18,1.47,0.0
COLLEGE EAST,0.0,0.0,1.2,1.66,4.98,1.2,0.0,0.55,0.0,1.01,4.33,3.87,2.12,1.11,0.18,3.97,0.65,0.0,0.0,0.0,0.18,0.0
COLLEGE WEST,0.0,0.0,0.42,1.83,2.42,0.17,0.0,0.17,0.08,0.33,2.59,2.25,1.42,1.0,0.08,3.25,0.58,0.0,0.0,0.0,0.0,0.0
CORE-COLUMBIA,0.08,0.54,1.09,11.24,14.18,2.56,0.0,2.33,0.39,2.79,19.22,5.58,3.49,3.1,0.78,10.0,58.21,0.08,0.0,0.39,2.64,0.08
