Neighborhood,Homicide,Kidnapping/Abduction,Sexual Assault,Aggravated Assault,Simple Assault,Intimidation,Other Sex Offenses,Robbery,Arson,Burglary/Breaking & Entering,Larceny,Theft From Motor Vehicle,Motor Vehicle Theft,Fraud/Counterfeiting,Stolen Property Offenses,Vandalism,Drug/Narcotic Offenses,Pornography/Obscene Material,Gambling Offenses,Prostitution,Weapon Law Violations,Animal Cruelty
CORRIDOR,0.0,0.12,0.48,4.67,4.91,1.08,0.0,0.84,0.0,2.99,5.03,3.11,2.99,0.96,0.6,5.14,6.22,0.0,0.0,0.0,0.96,0.0
CORTEZ,0.0,0.2,1.59,8.96,8.76,0.4,0.0,1.39,0.4,2.59,13.93,10.35,4.58,4.98,0.8,10.75,12.94,0.0,0.0,0.0,1.0,0.0
DEL CERRO,0.0,0.39,0.13,1.8,3.21,0.51,0.0,0.0,0.0,0.64,3.6,2.44,2.44,2.83,0.0,4.75,0.39,0.0,0.0,0.0,0.13,0.0
DEL MAR HEIGHTS,0.15,0.0,0.29,0.44,1.18,0.15,0.0,0.0,0.0,0.88,3.83,2.36,0.88,0.88,0.0,1.62,0.44,0.0,0.0,0.0,0.15,0.0
EAST VILLAGE,0.0,0.37,2.57,11.42,16.24,1.83,0.0,2.2,0.37,2.7,15.2,3.53,3.74,3.9,0.83,9.18,54.36,0.21,0.0,0.04,3.16,0.08
EGGER HIGHLANDS,0.0,0.23,0.57,3.51,6.11,1.47,0.0,1.58,0.11,1.13,11.89,1.92,3.06,1.25,0.57,4.87,3.62,0.0,0.0,0.0,0.79,0.0
EL CERRITO,0.0,0.18,1.07,9.25,6.76,2.49,0.0,1.6,0.0,2.13,32.36,3.73,2.49,3.02,0.53,7.11,4.98,0.18,0.0,0.0,1.78,0.0
EMERALD HILLS,0.0,0.0,0.0,4.27,3.13,0.57,0.0,0.28,0.0,0.28,1.99,1.71,2.85,1.99,0.28,6.55,3.13,0.0,0.0,0.0,1.99,0.0
ENCANTO,0.0,0.12,0.36,5.34,6.88,0.71,0.0,0.36,0.12,3.2,3.92,1.66,3.2,1.54,0.36,4.27,2.37,0.0,0.0,0.0,0.71,0.12
FAIRMOUNT PARK,0.0,0.0,0.32,4.14,4.14,0.64,0.0,1.59,0.64,5.41,4.14,1.59,2.23,3.5,0.64,4.78,2.23,0.0,0.0,0.0,0.96,0.0
FAIRMOUNT VILLAGE,0.0,0.0,1.48,5.18,5.74,0.74,0.0,1.85,0.19,1.11,4.26,0.74,3.33,2.59,0.37,5.37,5.18,0.0,0.0,0.0,0.93,0.0
FOX CANYON,0.0,0.0,0.0,5.15,6.01,1.29,0.0,1.29,0.0,0.43,3.86,3.01,2.58,2.15,0.0,7.73,10.73,0.0,0.0,0.0,0.86,0.0
GASLAMP,0.0,0.71,13.51,66.15,178.52,18.49,0.0,16.36,0.71,9.25,99.57,12.8,14.94,15.65,2.84,39.12,96.73,0.0,0.0,0.0,18.49,0.0
GOLDEN HILL,0.0,0.26,0.7,2.26,3.05,0.26,0.0,0.26,0.0,0.78,4.96,4.26,4.53,1.39,0.52,6.18,3.83,0.0,0.0,0.0,0.61,0.09
GRANT HILL,0.26,0.0,0.77,7.41,3.83,1.02,0.0,1.28,0.0,1.28,5.11,2.3,4.34,2.3,0.51,6.64,6.64,0.0,0.0,0.0,2.81,0.0
GRANTVILLE,0.0,0.4,0.24,5.68,9.61,1.6,0.0,1.12,0.4,3.2,14.73,4.72,5.2,2.24,0.48,7.05,5.04,0.0,0.0,0.0,0.4,0.16
HARBORVIEW,0.0,0.7,0.7,7.04,14.79,2.11,0.0,0.7,0.0,5.63,36.62,11.27,5.63,8.45,0.0,19.01,13.38,0.0,0.0,0.0,0.7,0.0
HILLCREST,0.05,0.35,1.54,5.01,10.57,1.44,0.0,1.04,0.15,2.03,12.9,3.08,3.57,3.77,0.65,8.24,7.1,0.0,0.0,0.0,0.55,0.0
HORTON PLAZA,0.45,0.0,0.45,4.92,2.23,0.89,0.0,0.89,0.0,1.79,11.17,3.57,2.23,1.79,0.45,4.92,10.72,0.0,0.0,0.0,0.89,0.0
ISLENAIR,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAMACHA LOMITA,0.12,0.12,0.12,2.76,3.8,0.35,0.0,0.69,0.0,1.15,2.76,1.61,3.68,1.15,0.46,3.91,0.81,0.0,0.12,0.0,1.15,0.12
KEARNY MESA,0.13,0.4,1.73,6.54,11.07,2.67,0.13,1.87,0.13,14.0,28.67,13.07,11.2,7.07,1.47,15.87,10.94,0.0,0.0,1.2,1.2,0.0
KENSINGTON,0.0,0.15,0.29,2.2,1.46,0.44,0.0,0.0,0.0,0.73,3.81,2.2,2.49,2.05,0.44,3.22,1.61,0.0,0.0,0.0,0.29,0.0
LA JOLLA,0.0,0.03,0.51,0.92,2.6,0.41,0.0,0.33,0.03,1.73,15.88,2.93,1.98,2.26,0.28,2.6,0.89,0.05,0.0,0.0,0.08,0.0
LA PLAYA,0.0,0.0,0.0,0.32,1.6,0.64,0.0,0.32,0.0,1.6,3.2,3.52,1.28,2.56,0.0,3.52,0.0,0.0,0.0,0.0,0.0,0.0
LAKE MURRAY,0.06,0.06,0.36,1.39,2.78,0.54,0.0,0.18,0.0,0.97,2.66,1.09,1.39,1.81,0.24,3.02,0.3,0.0,0.0,0.0,0.18,0.06
LINCOLN PARK,0.11,0.0,0.92,6.53,6.07,0.92,0.0,1.72,0.0,2.64,5.73,1.83,5.04,1.38,0.69,6.53,3.67,0.0,0.0,0.11,1.49,0.0
LINDA VISTA,0.08,0.3,0.55,2.41,4.36,0.64,0.04,0.42,0.08,1.02,9.61,2.54,1.74,1.65,0.3,4.02,2.71,0.0,0.0,0.0,1.02,0.0
LITTLE ITALY,0.0,0.17,0.51,5.59,4.91,0.85,0.0,0.51,0.0,3.73,12.19,5.08,4.4,3.05,0.17,6.44,3.39,0.0,0.0,0.0,0.51,0.0
LOGAN HEIGHTS,0.16,0.32,0.79,8.06,8.45,0.79,0.08,1.66,0.16,1.9,5.14,1.42,5.85,2.84,0.87,7.58,8.77,0.0,0.0,0.08,3.0,0.0
LOMA PORTAL,0.0,0.0,0.24,4.56,2.4,0.24,0.0,0.24,0.0,2.16,6.72,2.4,2.16,0.96,0.48,3.36,5.76,0.0,0.0,0.0,0.48,0.0
MARINA,0.0,0.13,1.17,5.83,6.87,1.55,0.0,1.04,0.13,0.78,10.49,1.55,2.2,2.46,0.52,4.92,7.51,0.0,0.0,0.0,0.91,0.13
MIDTOWN,0.0,0.0,0.18,1.8,4.86,1.08,0.0,0.18,0.0,1.98,6.3,5.22,5.22,2.88,0.54,5.04,5.4,0.0,0.0,0.0,0.54,0.0
MIDWAY DISTRICT,0.0,0.68,1.28,6.82,12.36,1.96,0.0,4.26,0.43,2.56,63.17,5.46,4.43,10.06,3.41,8.95,46.29,0.0,0.0,0.0,2.39,0.0
MIRA MESA,0.0,0.08,0.14,1.17,2.24,0.23,0.01,0.1,0.01,0.46,5.25,1.61,1.54,2.03,0.14,2.54,0.86,0.0,0.0,0.0,0.1,0.0
MIRAMAR,0.15,0.0,0.15,1.9,2.63,0.58,0.0,0.44,0.15,4.67,7.59,2.92,4.67,2.63,0.44,6.13,1.31,0.0,0.0,0.44,0.29,0.0
MIRAMAR RANCH NORTH,0.0,0.0,0.0,1.51,0.83,0.15,0.0,0.0,0.0,0.68,2.03,0.83,0.3,1.96,0.08,1.13,0.38,0.0,0.0,0.0,0.08,0.0
MISSION BAY,6.21,0.0,49.69,279.5,372.67,49.69,0.0,49.69,18.63,18.63,416.15,130.43,124.22,43.48,55.9,161.49,372.67,0.0,0.0,0.0,49.69,0.0
MISSION BEACH,0.0,0.0,1.49,6.63,11.77,1.49,0.0,1.99,0.17,3.32,18.23,6.46,4.97,2.15,2.32,8.12,3.98,0.17,0.0,0.0,2.15,0.0
MISSION HILLS,0.0,0.0,0.4,2.29,3.37,0.13,0.0,0.27,0.13,2.29,5.53,4.72,2.56,2.29,0.0,4.31,2.16,0.0,0.0,0.0,0.0,0.0
MISSION VALLEY EAST,0.07,0.46,0.86,5.86,9.22,1.12,0.0,3.29,0.13,3.09,52.14,9.35,5.33,4.54,0.46,11.92,10.2,0.0,0.0,0.07,0.92,0.0
MISSION VALLEY WEST,0.32,1.58,5.38,19.32,36.73,2.53,0.32,10.13,0.32,14.57,97.21,18.37,12.98,19.32,4.12,20.27,67.76,0.0,0.0,0.0,6.97,0.32
MORENA,0.0,0.12,0.71,2.37,4.5,1.18,0.0,0.71,0.71,3.44,13.27,4.62,3.08,3.2,0.36,5.81,5.33,0.0,0.0,0.12,1.07,0.0
MOUNTAIN VIEW,0.0,0.29,0.36,5.0,7.9,0.94,0.0,0.87,0.14,0.65,6.59,2.46,4.2,1.67,0.87,6.23,3.41,0.07,0.0,0.0,0.8,0.0
MT HOPE,0.0,0.0,0.0,4.27,5.97,0.21,0.0,1.28,0.85,0.85,3.41,2.56,4.69,1.28,0.43,7.68,4.05,0.0,0.0,0.0,2.13,0.0
NESTOR,0.13,0.06,0.25,2.61,4.51,0.57,0.0,0.25,0.13,0.32,1.97,2.16,3.94,1.46,0.38,3.81,1.4,0.0,0.0,0.0,0.57,0.0
NORMAL HEIGHTS,0.0,0.09,0.26,3.71,4.74,0.69,0.0,0.6,0.0,1.72,4.14,2.15,2.24,1.12,0.17,2.93,2.24,0.0,0.0,0.0,0.78,0.0
NORTH CITY,0.0,0.0,0.0,0.32,1.9,0.0,0.0,0.0,0.0,0.79,3.16,1.58,0.95,2.53,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
NORTH CLAIREMONT,0.0,0.13,0.27,1.75,3.16,0.67,0.0,0.87,0.0,0.74,14.58,2.02,2.15,2.02,0.54,2.96,4.5,0.0,0.0,0.0,0.34,0.0
NORTH PARK,0.0,0.06,0.32,2.44,3.21,0.41,0.02,0.43,0.13,1.31,8.82,2.55,2.81,1.8,0.24,4.39,3.17,0.0,0.0,0.02,0.34,0.0
OAK PARK,0.07,0.07,0.89,3.55,4.89,0.67,0.15,0.89,0.0,1.18,5.85,2.37,1.85,1.41,0.44,4.59,3.04,0.0,0.0,0.0,1.11,0.07
OCEAN BEACH,0.2,0.13,0.93,6.53,9.66,1.67,0.0,1.47,0.27,1.27,8.86,1.53,3.46,3.13,1.07,5.53,16.39,0.07,0.0,0.0,1.13,0.2
OCEAN CREST,0.0,0.13,0.46,1.31,4.0,0.39,0.13,0.66,0.0,0.33,6.37,2.63,5.58,1.31,0.33,2.63,0.92,0.07,0.0,0.0,0.33,0.07
O'FARRELL,0.21,0.62,0.62,4.14,6.42,0.62,0.21,0.0,0.41,0.83,3.11,0.62,3.52,1.66,0.21,3.11,1.04,0.0,0.0,0.0,0.62,0.0
OLD TOWN,0.0,2.42,6.45,20.15,35.46,3.22,0.0,8.06,0.81,8.06,35.46,17.73,4.83,12.09,6.45,35.46,149.07,0.0,0.0,0.0,8.06,0.0
OTAY MESA,0.0,0.0,1.07,7.85,12.85,1.43,0.36,2.86,0.0,5.36,39.99,22.85,190.29,8.93,5.0,18.56,2.86,0.0,0.0,0.0,2.5,0.0
OTAY MESA WEST,0.0,0.15,0.22,2.32,3.79,0.9,0.0,0.22,0.07,0.49,2.62,2.02,3.37,0.9,0.26,3.0,1.46,0.04,0.0,0.0,0.49,0.04
PACIFIC BEACH,0.02,0.04,0.78,2.66,5.36,0.5,0.02,0.58,0.02,1.82,8.95,3.03,4.33,2.62,0.47,3.86,4.41,0.02,0.0,0.0,0.23,0.06
PALM CITY,0.22,0.22,0.45,3.35,7.81,1.12,0.0,0.67,0.0,1.56,2.23,2.68,6.03,1.12,0.67,6.7,20.76,0.0,0.0,0.0,1.56,0.0
PARADISE HILLS,0.0,0.07,0.59,2.29,3.07,0.2,0.0,0.07,0.0,0.26,2.29,1.83,1.76,1.44,0.26,2.61,1.18,0.0,0.07,0.0,0.72,0.0
PARK WEST,0.16,0.0,0.57,3.63,4.6,0.4,0.0,0.48,0.08,1.78,7.75,4.04,4.12,1.53,0.4,8.31,5.17,0.0,0.08,0.0,0.65,0.0
PETCO PARK,0.0,0.6,4.17,20.27,59.63,5.96,0.0,3.58,1.79,0.6,20.87,7.75,3.58,4.17,1.79,28.62,131.78,0.0,0.0,0.0,4.77,0.0
POINT LOMA HEIGHTS,0.0,0.18,0.36,2.12,4.47,0.59,0.05,0.54,0.05,1.36,12.2,2.48,2.03,2.03,0.27,3.03,3.16,0.05,0.0,0.0,0.23,0.14
QUALCOMM,0.0,0.0,0.0,0.0,555.56,0.0,0.0,0.0,0.0,0.0,222.22,0.0,0.0,0.0,0.0,0.0,555.56,0.0,0.0,0.0,0.0,0.0
RANCHO BERNARDO,0.0,0.0,0.09,0.68,1.26,0.22,0.0,0.07,0.0,0.91,2.36,1.46,0.75,1.35,0.11,2.01,0.11,0.0,0.0,0.0,0.02,0.0
RANCHO ENCANTADA,0.0,0.0,0.34,0.34,1.72,0.34,0.0,0.0,0.0,0.34,1.03,0.69,0.34,2.4,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0
RANCHO PENASQUITOS,0.02,0.09,0.14,0.71,1.91,0.32,0.0,0.12,0.0,0.69,2.28,1.29,0.81,2.19,0.05,1.68,0.25,0.02,0.0,0.0,0.07,0.0
REDWOOD VILLAGE,0.0,0.0,0.43,4.51,4.72,0.64,0.0,1.93,0.0,1.07,13.3,2.79,2.15,2.36,0.43,7.51,3.65,0.0,0.0,0.0,1.07,0.0
RIDGEVIEW/WEBSTER,0.0,0.2,0.2,5.51,10.62,0.82,0.0,1.02,0.2,9.6,6.53,1.43,3.27,1.84,0.82,7.35,5.31,0.0,0.0,0.0,3.88,0.2
ROLANDO,0.0,0.25,0.89,5.46,7.24,1.78,0.0,2.41,0.13,1.52,7.75,3.05,2.29,3.3,0.76,5.84,3.68,0.0,0.0,0.0,0.89,0.0
ROLANDO PARK,0.0,0.27,1.59,5.84,6.1,1.06,0.0,2.12,0.53,0.8,5.84,0.53,2.92,2.39,0.27,4.77,2.39,0.0,0.0,0.0,0.53,0.0
ROSEVILLE / FLEET RIDGE,0.0,0.0,0.48,2.7,5.87,0.16,0.0,0.0,0.0,1.43,4.44,2.86,1.11,2.38,0.16,3.49,2.06,0.16,0.0,0.16,0.0,0.0
SABRE SPRINGS,0.0,0.0,0.18,1.09,1.18,0.0,0.0,0.09,0.09,0.27,1.36,1.72,0.82,2.18,0.0,0.91,0.82,0.0,0.0,0.0,0.09,0.0
SAN CARLOS,0.0,0.0,0.22,0.45,1.12,0.3,0.0,0.07,0.0,0.07,3.94,3.27,0.74,2.23,0.0,2.75,0.3,0.0,0.0,0.0,0.22,0.0
SAN PASQUAL,0.0,0.0,0.0,0.0,4.2,46.22,0.0,0.0,0.0,0.0,8.4,0.0,0.0,4.2,0.0,12.61,0.0,0.0,0.0,0.0,4.2,0.0
SAN YSIDRO,0.04,0.08,0.2,3.45,5.65,0.68,0.0,1.68,0.12,2.37,33.43,2.57,7.5,1.36,1.24,4.85,5.49,0.0,0.0,0.0,0.68,0.0
SCRIPPS RANCH,0.0,0.05,0.1,0.31,1.67,0.1,0.05,0.1,0.0,1.2,2.72,1.41,0.52,2.56,0.0,2.4,0.21,0.0,0.0,0.0,0.05,0.05
SERRA MESA,0.0,0.07,0.33,1.99,3.47,0.7,0.0,0.26,0.0,0.85,3.73,3.36,2.14,2.14,0.22,3.03,1.62,0.0,0.0,0.0,0.18,0.04
SHELLTOWN,0.0,0.81,0.27,3.25,3.25,0.27,0.0,0.27,0.0,0.0,1.89,0.54,2.98,1.89,0.27,3.52,2.43,0.0,0.0,0.54,1.89,0.0
SHERMAN HEIGHTS,0.0,0.3,1.48,6.2,7.09,2.36,0.0,0.89,0.3,0.59,7.97,3.25,6.79,2.66,1.18,6.79,29.82,0.0,0.0,0.0,2.07,0.3
SKYLINE,0.0,0.14,1.24,4.97,5.39,1.11,0.0,0.55,0.0,1.38,4.42,2.49,1.66,2.63,0.28,4.84,1.52,0.14,0.0,0.0,1.24,0.14
SORRENTO VALLEY,0.0,0.25,0.25,2.25,5.24,2.0,0.0,0.0,0.0,26.46,21.97,5.74,5.99,6.74,1.0,12.98,2.75,0.0,0.0,0.0,0.25,0.25
SOUTH PARK,0.0,0.0,0.17,0.66,2.64,0.17,0.0,0.5,0.17,0.5,3.63,2.48,2.81,1.16,0.0,2.64,0.83,0.0,0.0,0.0,0.17,0.0
SOUTHCREST,0.0,0.37,1.12,8.38,9.12,1.3,0.0,1.68,0.37,1.12,4.65,0.19,4.28,0.37,0.74,4.1,5.96,0.0,0.0,0.37,1.12,0.0
STOCKTON,0.0,0.35,1.04,5.2,5.55,0.0,0.0,0.0,0.0,2.08,11.44,4.16,3.12,3.12,1.04,6.93,7.97,0.0,0.0,0.0,2.43,0.0
SUNSET CLIFFS,0.0,0.0,0.33,2.66,1.66,0.0,0.0,0.33,0.33,1.0,2.33,2.66,2.33,2.33,0.33,2.33,1.66,0.0,0.0,0.0,0.33,0.0
SWAN CANYON,0.48,0.0,1.21,3.87,5.8,1.69,0.24,0.48,0.0,0.72,2.66,1.45,2.9,1.93,0.48,3.38,3.14,0.0,0.0,0.0,0.24,0.0
TALMADGE,0.1,0.0,0.1,2.81,5.61,1.0,0.0,0.7,0.3,0.9,7.71,6.31,2.3,2.6,0.2,6.01,4.21,0.1,0.0,0.1,0.9,0.0
TERALTA EAST,0.0,1.05,0.75,4.66,6.02,1.5,0.0,2.11,0.3,0.9,3.61,2.71,3.76,3.31,0.3,5.26,22.26,0.0,0.6,0.0,2.26,0.0
TERALTA WEST,0.37,0.55,0.37,6.23,9.9,0.73,0.0,1.47,0.0,1.1,6.23,1.83,4.58,1.65,0.73,6.23,13.02,0.0,0.0,0.0,1.28,0.0
TIERRASANTA,0.0,0.04,0.25,0.83,2.2,0.25,0.0,0.04,0.0,0.54,2.23,2.38,0.86,1.33,0.07,0.97,0.22,0.04,0.0,0.0,0.07,0.0
TIJUANA RIVER VALLEY,0.0,0.0,31.75,15.87,63.49,0.0,0.0,0.0,15.87,0.0,31.75,15.87,47.62,0.0,15.87,63.49,47.62,0.0,0.0,0.0,0.0,0.0
TORREY HIGHLANDS,0.0,0.0,0.0,0.58,1.31,0.15,0.0,0.0,0.0,1.02,2.91,0.29,0.29,1.6,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0
TORREY PINES,0.0,0.09,0.17,0.35,1.22,0.09,0.0,0.09,0.09,0.78,1.56,0.69,1.22,0.61,0.17,0.69,0.69,0.0,0.0,0.0,0.17,0.0
TORREY PRESERVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNIVERSITY CITY,0.0,0.04,0.33,0.81,2.22,0.28,0.04,0.55,0.02,0.93,9.94,2.06,1.9,2.11,0.12,2.36,0.7,0.02,0.0,0.0,0.05,0.0
UNIVERSITY HEIGHTS,0.0,0.2,0.13,1.58,3.22,0.2,0.0,0.13,0.07,1.05,6.9,2.69,2.36,2.04,0.33,3.48,2.3,0.0,0.0,0.07,0.33,0.0
VALENCIA PARK,0.0,0.0,0.53,4.68,5.11,1.06,0.0,0.32,0.0,0.96,3.09,1.6,1.49,1.17,0.21,3.3,1.6,0.0,0.0,0.0,0.53,0.0
WOODED AREA,0.0,0.0,0.0,1.14,1.43,0.0,0.0,0.0,0.0,0.57,4.29,1.14,0.57,1.72,0.29,0.86,1.14,0.0,0.0,0.0,0.0,0.0
