Neighborhood,Homicide,Kidnapping/Abduction,Sexual Assault,Aggravated Assault,Simple Assault,Intimidation,Other Sex Offenses,Robbery,Arson,Burglary/Breaking & Entering,Larceny,Theft From Motor Vehicle,Motor Vehicle Theft,Fraud/Counterfeiting,Stolen Property Offenses,Vandalism,Drug/Narcotic Offenses,Pornography/Obscene Material,Gambling Offenses,Prostitution,Weapon Law Violations,Animal Cruelty
EAST VILLAGE,0.1,0.6,2.5,13.3,18.3,2.5,0.0,2.8,0.4,3.1,13.1,5.9,5.0,3.7,1.2,8.2,47.4,0.0,0.0,0.0,3.1,0.1
EGGER HIGHLANDS,0.0,0.0,0.2,2.6,4.8,0.5,0.0,0.8,0.0,1.4,10.0,2.4,4.8,1.9,0.3,5.0,3.5,0.0,0.0,0.0,0.7,0.0
EL CERRITO,0.0,0.7,0.5,5.3,10.0,1.2,0.2,0.9,0.0,4.8,12.1,2.1,3.2,2.8,0.5,6.2,6.1,0.0,0.0,0.2,0.5,0.0
EMERALD HILLS,0.0,0.3,0.6,3.4,4.0,0.0,0.0,0.0,0.0,0.3,3.1,1.7,2.0,0.6,0.9,4.6,3.4,0.0,0.0,0.0,1.1,0.0
ENCANTO,0.0,0.5,0.8,4.0,4.4,0.8,0.0,0.6,0.0,0.7,2.7,1.7,4.9,1.2,1.0,5.8,1.9,0.0,0.0,0.0,0.8,0.0
FAIRMOUNT PARK,0.3,0.3,0.3,1.3,3.5,0.3,0.0,0.3,1.3,3.2,4.1,3.2,4.5,0.6,0.6,5.1,1.9,0.0,0.0,0.0,1.0,0.0
FAIRMOUNT VILLAGE,0.0,0.6,1.1,7.4,10.0,1.5,0.0,2.0,0.0,1.1,3.2,3.3,3.7,2.0,0.4,8.5,3.2,0.0,0.0,0.0,0.2,0.0
FOX CANYON,0.0,0.0,1.3,5.6,9.5,0.4,0.0,1.7,0.0,1.3,3.4,2.6,2.2,2.2,0.4,5.6,10.3,0.0,0.0,0.0,1.7,0.4
GASLAMP,0.7,2.1,9.3,88.9,157.2,14.9,0.7,18.5,0.0,13.5,275.3,21.3,11.4,17.1,3.6,51.9,130.2,0.0,0.0,0.0,12.1,0.0
GOLDEN HILL,0.0,0.2,0.4,3.0,3.9,0.8,0.0,0.2,0.1,1.4,4.8,3.6,3.9,1.0,0.8,4.7,2.1,0.0,0.0,0.0,0.8,0.0
GRANT HILL,0.3,0.3,0.5,6.1,5.1,1.3,0.0,1.3,0.3,3.1,4.6,1.8,5.1,3.3,0.8,10.7,5.4,0.0,0.0,0.0,1.5,0.0
GRANTVILLE,0.2,0.3,0.6,7.6,9.4,1.0,0.0,1.0,0.0,3.4,11.9,7.7,9.1,2.8,0.9,8.7,5.1,0.0,0.0,0.1,1.0,0.1
HARBORVIEW,0.0,0.7,1.4,4.2,14.8,0.7,0.0,4.9,0.7,5.6,45.8,12.7,7.0,4.9,0.7,17.6,13.4,0.0,0.0,0.0,0.7,0.0
HILLCREST,0.0,0.1,0.9,5.4,10.9,1.2,0.0,1.7,0.3,3.8,16.8,5.4,4.0,3.0,0.7,8.4,7.0,0.0,0.0,0.1,0.6,0.0
HORTON PLAZA,0.0,0.0,2.2,3.6,6.7,3.6,0.0,4.0,0.0,1.3,9.4,1.8,0.9,2.2,0.0,4.5,6.3,0.0,0.0,0.0,0.9,0.0
ISLENAIR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0
JAMACHA LOMITA,0.0,0.2,0.4,1.4,3.7,0.4,0.0,0.4,0.0,1.3,1.8,1.6,2.3,1.5,0.4,2.9,1.4,0.0,0.0,0.0,0.6,0.0
KEARNY MESA,0.1,1.1,0.7,6.5,15.2,2.4,0.0,2.4,0.4,9.9,41.7,21.2,17.6,8.3,2.7,21.9,8.5,0.0,0.0,1.5,1.1,0.1
KENSINGTON,0.0,0.2,0.2,1.5,2.2,0.6,0.0,0.6,0.2,1.9,6.6,4.7,1.8,1.8,0.0,5.3,2.1,0.0,0.0,0.0,0.6,0.0
LA JOLLA,0.0,0.1,0.5,1.1,2.3,0.4,0.0,0.4,0.0,2.4,11.1,3.3,2.8,2.5,0.5,3.1,1.2,0.0,0.0,0.0,0.2,0.0
LA PLAYA,0.0,0.0,0.0,0.6,0.6,0.3,0.0,0.0,0.0,1.3,3.2,1.3,1.0,2.6,0.3,1.6,1.0,0.0,0.0,0.0,0.0,0.0
LAKE MURRAY,0.0,0.0,0.1,1.0,3.1,0.4,0.0,0.2,0.0,0.8,1.6,2.1,1.5,1.6,0.2,1.9,0.4,0.0,0.0,0.0,0.0,0.0
LINCOLN PARK,0.0,0.0,1.3,5.2,9.3,1.5,0.1,1.2,0.3,2.1,5.4,2.9,6.3,0.8,0.3,5.6,3.3,0.0,0.0,0.0,2.5,0.0
LINDA VISTA,0.0,0.1,0.3,3.5,3.8,0.8,0.0,0.6,0.1,1.4,13.2,3.0,2.3,1.5,0.3,4.4,2.3,0.0,0.0,0.0,0.6,0.0
LITTLE ITALY,0.0,0.5,1.5,4.4,5.1,1.7,0.0,1.2,0.2,8.0,15.8,6.8,4.7,3.2,0.9,8.6,5.4,0.0,0.0,0.0,0.5,0.0
LOGAN HEIGHTS,0.2,0.6,1.3,8.6,9.8,1.0,0.0,1.7,0.2,1.7,3.3,2.1,6.2,1.2,0.9,6.8,7.4,0.0,0.0,0.1,1.6,0.0
LOMA PORTAL,0.0,0.0,0.2,0.7,1.7,0.2,0.0,0.2,0.0,2.4,7.2,5.0,3.6,3.4,0.2,2.6,4.1,0.0,0.0,0.0,0.7,0.0
MARINA,0.0,0.9,0.5,4.3,5.6,0.8,0.0,1.0,0.3,1.6,14.9,4.3,1.9,2.5,0.7,6.5,3.8,0.1,0.0,0.0,0.7,0.0
MIDTOWN,0.0,0.4,0.7,2.5,4.0,0.4,0.0,0.9,0.4,2.3,5.6,6.5,5.9,2.0,2.0,5.4,3.4,0.0,0.0,0.0,0.2,0.0
MIDWAY DISTRICT,0.0,0.7,1.6,7.4,12.0,1.7,0.1,3.4,0.7,4.9,52.9,4.9,6.3,5.9,12.6,11.7,48.3,0.1,0.0,0.0,2.9,0.0
MIRA MESA,0.0,0.1,0.4,1.3,2.4,0.2,0.0,0.2,0.0,0.9,4.9,2.2,1.9,2.1,0.1,2.7,1.1,0.0,0.0,0.0,0.1,0.0
MIRAMAR,0.2,0.0,0.2,1.2,2.5,0.0,0.0,0.4,0.2,5.0,10.8,2.8,4.7,0.7,0.6,7.0,1.9,0.0,0.0,0.0,0.7,0.0
MIRAMAR RANCH NORTH,0.0,0.2,0.1,0.5,0.8,0.2,0.0,0.0,0.0,0.6,1.7,1.2,0.4,1.7,0.1,1.4,0.2,0.0,0.0,0.0,0.0,0.0
MISSION BAY,6.2,12.4,68.3,192.6,354.0,31.1,0.0,31.1,12.4,49.7,366.5,136.7,93.2,31.1,31.1,198.8,366.5,0.0,0.0,0.0,62.1,0.0
MISSION BEACH,0.0,0.2,0.7,5.0,8.8,0.7,0.0,1.8,0.2,6.0,20.1,4.3,5.0,3.0,0.8,8.0,4.5,0.2,0.0,0.0,2.0,0.0
MISSION HILLS,0.0,0.0,0.9,1.8,1.6,0.5,0.0,0.7,0.0,3.0,5.0,4.2,1.6,2.0,0.1,4.3,2.7,0.0,0.0,0.0,0.1,0.0
MISSION VALLEY EAST,0.0,0.3,1.2,6.9,11.3,1.5,0.0,3.3,0.4,4.7,40.4,12.4,9.3,4.4,1.1,11.6,8.8,0.0,0.0,0.3,1.9,0.1
MISSION VALLEY WEST,0.0,2.9,1.3,18.1,30.1,2.9,0.0,19.6,0.3,12.7,121.6,17.7,21.2,12.4,8.6,21.9,48.1,0.0,0.0,0.3,7.0,0.0
MORENA,0.0,0.1,0.5,3.7,4.3,1.2,0.1,1.0,0.4,6.2,9.5,3.8,4.5,2.8,1.2,5.0,8.8,0.0,0.0,0.1,0.6,0.0
MOUNTAIN VIEW,0.0,0.2,1.1,6.0,6.6,0.4,0.0,0.7,0.0,0.6,7.0,3.3,5.1,1.7,0.9,5.1,3.7,0.1,0.0,0.0,2.1,0.0
MT HOPE,0.0,0.0,0.0,4.9,6.4,0.2,0.0,0.2,0.2,0.9,2.1,4.1,4.3,0.9,1.3,6.8,2.1,0.0,0.0,0.0,1.3,0.0
NESTOR,0.0,0.2,0.1,2.5,3.7,0.6,0.0,0.3,0.1,0.4,2.1,2.8,6.6,1.1,0.4,4.0,1.7,0.0,0.0,0.0,0.2,0.1
NORMAL HEIGHTS,0.0,0.1,0.3,3.6,4.7,0.4,0.0,0.3,0.1,2.2,5.8,3.4,3.2,2.0,0.4,6.0,1.8,0.0,0.0,0.0,0.4,0.0
NORTH CITY,0.0,0.0,0.3,0.3,1.4,0.0,0.0,0.0,0.0,1.7,2.7,1.6,0.6,2.7,0.0,1.1,0.5,0.0,0.0,0.0,0.0,0.0
NORTH CLAIREMONT,0.0,0.3,0.2,2.4,3.8,0.5,0.0,0.9,0.0,1.8,12.4,2.6,2.4,1.8,0.7,4.0,4.8,0.1,0.0,0.0,0.4,0.1
NORTH PARK,0.0,0.2,0.3,2.3,4.3,0.7,0.0,0.6,0.1,1.7,7.0,3.6,3.6,1.8,0.3,5.5,3.6,0.0,0.0,0.0,0.5,0.0
OAK PARK,0.2,0.2,0.5,3.5,4.9,0.5,0.0,0.4,0.2,1.2,5.2,3.6,2.1,1.7,0.6,4.3,2.3,0.0,0.0,0.0,0.9,0.1
OCEAN BEACH,0.0,0.5,0.9,7.4,9.1,1.3,0.0,1.4,0.0,1.9,8.4,2.5,4.6,1.8,0.7,5.3,21.1,0.0,0.0,0.0,1.6,0.1
OCEAN CREST,0.1,0.3,0.4,1.1,4.5,0.8,0.1,0.5,0.1,0.9,6.0,4.7,7.9,1.8,0.4,4.8,0.7,0.1,0.0,0.0,0.1,0.0
O'FARRELL,0.2,0.2,0.4,2.7,9.7,0.8,0.0,0.0,0.0,1.0,3.3,2.1,2.5,0.8,0.4,5.0,2.5,0.0,0.0,0.0,1.2,0.0
OLD TOWN,0.0,1.6,6.5,22.6,33.8,8.1,0.0,3.2,0.8,14.5,33.8,21.8,16.9,11.3,5.6,33.0,99.1,0.0,0.0,0.0,6.5,0.0
OTAY MESA,0.4,0.7,2.1,7.5,9.3,1.1,0.0,1.4,0.4,8.6,33.2,30.7,194.9,4.3,7.1,20.0,3.2,0.0,0.0,0.0,1.1,0.0
OTAY MESA WEST,0.0,0.1,0.2,3.2,5.3,1.0,0.0,0.7,0.1,0.7,2.5,2.2,5.7,1.3,0.6,3.8,1.2,0.1,0.0,0.0,0.7,0.0
PACIFIC BEACH,0.0,0.0,0.6,2.9,5.0,0.7,0.0,0.4,0.0,1.8,9.3,3.7,4.0,2.3,0.7,4.9,4.8,0.0,0.0,0.0,0.4,0.1
PALM CITY,0.2,0.0,1.8,5.8,6.5,1.1,0.0,1.6,0.5,2.7,2.9,4.2,8.9,1.1,1.3,7.6,7.1,0.0,0.0,0.0,0.7,0.2
PARADISE HILLS,0.0,0.2,0.5,3.3,4.1,0.4,0.0,0.1,0.0,0.4,2.6,1.9,3.1,1.0,0.2,2.6,0.9,0.0,0.0,0.0,0.3,0.0
PARK WEST,0.0,0.2,0.6,4.4,4.0,1.1,0.1,0.4,0.2,4.0,7.0,4.8,3.9,2.5,0.4,9.1,7.9,0.0,0.1,0.0,0.5,0.0
PETCO PARK,0.0,0.0,6.0,33.4,75.7,11.3,0.0,11.9,0.0,6.6,23.3,11.3,8.4,8.4,2.4,23.3,178.3,0.0,0.0,0.0,14.3,0.0
POINT LOMA HEIGHTS,0.1,0.2,0.4,2.4,4.1,0.7,0.0,0.4,0.1,2.0,7.6,2.8,2.9,1.9,0.3,3.8,3.2,0.0,0.0,0.0,0.4,0.1
QUALCOMM,0.0,0.0,0.0,111.1,333.3,0.0,0.0,0.0,0.0,0.0,333.3,222.2,222.2,0.0,0.0,222.2,222.2,0.0,0.0,0.0,0.0,0.0
RANCHO BERNARDO,0.0,0.0,0.1,0.5,1.1,0.3,0.0,0.1,0.0,1.2,2.0,2.3,0.8,1.7,0.1,2.0,0.1,0.0,0.0,0.0,0.1,0.0
RANCHO ENCANTADA,0.0,0.3,0.0,1.0,0.3,0.7,0.0,0.3,0.0,0.0,0.7,0.7,0.3,1.4,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.3
RANCHO PENASQUITOS,0.0,0.1,0.2,0.6,1.8,0.4,0.0,0.1,0.0,1.0,2.3,1.6,0.8,1.9,0.1,1.6,0.2,0.0,0.0,0.0,0.1,0.0
REDWOOD VILLAGE,0.2,0.2,0.6,2.4,4.5,0.9,0.0,3.9,0.4,2.2,9.9,3.7,4.7,2.4,0.6,5.8,2.4,0.0,0.0,0.0,0.6,0.0
RIDGEVIEW/WEBSTER,0.4,0.2,0.4,5.7,8.0,2.7,0.0,1.2,0.0,4.3,5.9,1.8,4.3,1.8,1.4,7.2,7.4,0.0,0.0,0.2,1.4,0.0
ROLANDO,0.0,0.4,0.6,7.4,7.4,1.3,0.0,2.4,0.3,4.2,7.1,3.7,3.7,3.7,0.9,8.3,6.9,0.0,0.0,0.1,1.3,0.0
ROLANDO PARK,0.0,0.0,0.8,3.7,8.8,0.8,0.0,0.5,0.0,3.5,4.0,1.9,4.0,2.9,0.5,7.2,4.2,0.0,0.0,0.3,0.5,0.0
ROSEVILLE / FLEET RIDGE,0.2,0.3,0.3,2.2,4.4,0.3,0.0,0.6,0.2,2.7,7.3,3.3,2.5,1.8,1.0,4.0,1.9,0.0,0.0,0.0,0.3,0.0
SABRE SPRINGS,0.1,0.1,0.1,0.7,0.8,0.4,0.0,0.1,0.0,0.5,1.5,1.1,1.3,0.8,0.0,1.4,0.3,0.0,0.0,0.0,0.0,0.0
SAN CARLOS,0.0,0.0,0.0,0.5,0.9,0.5,0.0,0.2,0.1,0.5,2.6,2.9,0.9,1.6,0.0,1.8,0.2,0.0,0.0,0.0,0.1,0.0
SAN PASQUAL,0.0,0.0,4.2,12.6,21.0,4.2,0.0,0.0,0.0,8.4,4.2,4.2,8.4,0.0,4.2,4.2,0.0,0.0,0.0,0.0,8.4,0.0
SAN YSIDRO,0.0,0.0,0.4,3.7,5.7,1.0,0.0,1.9,0.1,2.6,32.1,4.9,14.1,1.6,2.7,5.9,4.2,0.0,0.0,0.0,1.0,0.0
SCRIPPS RANCH,0.1,0.1,0.2,0.6,2.0,0.1,0.0,0.2,0.0,1.7,2.9,1.4,0.6,2.3,0.1,2.5,0.6,0.0,0.0,0.0,0.1,0.0
SERRA MESA,0.0,0.1,0.2,1.4,3.4,0.7,0.0,0.3,0.1,1.4,4.1,3.8,2.7,2.1,0.2,3.2,1.4,0.0,0.0,0.0,0.3,0.0
SHELLTOWN,0.0,0.3,0.0,2.7,3.8,0.0,0.0,0.0,0.3,1.6,1.9,3.5,3.5,0.8,0.8,4.1,2.7,0.0,0.0,1.1,1.9,0.0
SHERMAN HEIGHTS,0.0,0.6,1.2,4.4,9.5,2.7,0.0,1.2,0.6,1.5,5.9,3.8,10.0,2.1,0.9,9.7,15.9,0.0,0.0,0.0,1.8,0.0
SKYLINE,0.0,0.0,0.6,3.3,3.3,0.8,0.1,0.3,0.0,3.0,3.6,1.7,2.1,2.6,0.7,4.4,1.4,0.1,0.0,0.0,0.8,0.0
SORRENTO VALLEY,0.0,0.0,0.0,2.8,2.5,1.0,0.0,0.3,0.0,19.7,19.0,10.2,7.0,4.5,2.0,12.7,4.0,0.5,0.0,0.3,0.3,0.0
SOUTH PARK,0.0,0.0,0.0,1.2,1.8,1.0,0.0,0.2,0.0,1.2,8.9,3.5,4.8,1.0,0.5,3.3,1.3,0.0,0.0,0.0,0.5,0.0
SOUTHCREST,0.2,0.6,0.2,7.5,6.9,0.4,0.0,2.1,0.4,3.2,4.7,2.4,4.1,1.1,1.1,6.1,5.2,0.0,0.0,0.2,2.6,0.0
