Neighborhood,Year,Simple Assault,Robbery,Larceny,Motor Vehicle Theft,Vandalism,Drug/Narcotic Offenses
BROADWAY HEIGHTS,2023,4.1,0.0,8.3,0.0,4.1,0.0
BROADWAY HEIGHTS,2024,8.3,0.0,0.0,4.1,0.0,2.1
BROADWAY HEIGHTS,2025,8.26,0.0,6.2,8.26,0.0,0.0
BURLINGAME,2023,0.0,0.0,2.5,2.5,1.2,2.5
BURLINGAME,2024,0.0,0.0,1.2,3.7,2.5,0.0
BURLINGAME,2025,1.23,0.0,4.94,2.47,4.94,1.23
CARMEL MOUNTAIN,2023,3.2,0.3,14.8,2.3,2.6,1.4
CARMEL MOUNTAIN,2024,2.7,0.6,19.9,1.5,2.0,1.5
CARMEL MOUNTAIN,2025,2.48,0.26,19.09,1.8,3.17,0.94
CARMEL VALLEY,2023,1.2,0.1,3.4,0.7,1.2,0.3
CARMEL VALLEY,2024,1.2,0.1,3.3,0.7,1.3,0.1
CARMEL VALLEY,2025,1.12,0.04,3.76,0.74,1.07,0.13
CASTLE,2023,7.0,0.8,4.0,2.8,6.4,5.2
CASTLE,2024,7.7,0.7,3.6,2.2,9.4,3.5
CASTLE,2025,7.6,0.79,3.52,1.47,3.97,3.4
CHEROKEE POINT,2023,4.7,1.1,5.3,4.1,7.7,4.1
CHEROKEE POINT,2024,3.8,0.8,5.8,2.3,5.4,5.1
CHEROKEE POINT,2025,3.56,0.75,6.0,1.31,6.93,8.43
CHOLLAS CREEK,2023,6.3,0.2,4.5,5.4,6.8,3.6
CHOLLAS CREEK,2024,5.4,0.5,2.5,3.2,3.2,4.3
CHOLLAS CREEK,2025,6.11,0.45,1.81,2.04,4.53,4.53
CHOLLAS VIEW,2023,12.2,1.1,5.1,5.3,10.9,4.8
CHOLLAS VIEW,2024,11.7,2.7,7.7,4.5,9.3,6.1
CHOLLAS VIEW,2025,8.77,0.8,7.18,5.85,6.38,6.12
CLAIREMONT MESA EAST,2023,4.3,0.9,8.2,3.0,3.6,3.1
CLAIREMONT MESA EAST,2024,4.1,0.6,10.1,2.1,3.2,2.7
CLAIREMONT MESA EAST,2025,4.17,0.34,6.23,1.84,2.83,2.91
CLAIREMONT MESA WEST,2023,2.0,0.1,4.0,1.4,2.2,1.8
CLAIREMONT MESA WEST,2024,1.4,0.1,5.0,1.5,2.5,1.0
CLAIREMONT MESA WEST,2025,1.84,0.2,6.45,1.23,1.84,3.07
COLINA DEL SOL,2023,6.9,1.6,2.9,3.2,7.1,4.5
COLINA DEL SOL,2024,6.8,0.9,4.5,3.2,6.2,6.3
COLINA DEL SOL,2025,9.91,1.56,3.3,2.75,6.05,8.99
COLLEGE EAST,2023,5.9,0.3,4.9,4.6,4.5,2.1
COLLEGE EAST,2024,4.2,0.3,3.9,2.8,4.1,1.8
COLLEGE EAST,2025,4.98,0.55,4.33,2.12,3.97,0.65
COLLEGE WEST,2023,1.8,0.3,2.7,1.6,3.5,1.1
COLLEGE WEST,2024,2.3,0.0,3.6,2.8,2.8,0.8
COLLEGE WEST,2025,2.42,0.17,2.59,1.42,3.25,0.58
CORE-COLUMBIA,2023,16.6,4.4,13.3,16.3,13.5,18.8
CORE-COLUMBIA,2024,14.7,4.0,16.0,6.0,11.6,41.2
CORE-COLUMBIA,2025,14.18,2.33,19.22,3.49,10.0,58.21
CORRIDOR,2023,6.6,1.0,4.4,4.0,10.2,4.1
CORRIDOR,2024,5.7,0.5,5.0,3.7,5.3,5.5
CORRIDOR,2025,4.91,0.84,5.03,2.99,5.14,6.22
CORTEZ,2023,9.0,0.8,9.4,10.2,13.1,5.0
CORTEZ,2024,8.8,0.8,13.9,5.4,9.8,9.0
CORTEZ,2025,8.76,1.39,13.93,4.58,10.75,12.94
DEL CERRO,2023,2.1,0.3,1.8,2.1,1.9,0.6
DEL CERRO,2024,0.9,0.0,2.2,1.7,1.9,0.8
DEL CERRO,2025,3.21,0.0,3.6,2.44,4.75,0.39
DEL MAR HEIGHTS,2023,1.5,0.0,3.0,2.2,2.1,0.6
DEL MAR HEIGHTS,2024,0.6,0.3,2.7,0.7,2.4,0.3
DEL MAR HEIGHTS,2025,1.18,0.0,3.83,0.88,1.62,0.44
EAST VILLAGE,2023,16.4,3.0,11.3,10.8,8.2,31.1
EAST VILLAGE,2024,18.3,2.8,13.1,5.0,8.2,47.4
EAST VILLAGE,2025,16.24,2.2,15.2,3.74,9.18,54.36
EGGER HIGHLANDS,2023,5.2,1.7,7.5,5.0,4.0,3.3
EGGER HIGHLANDS,2024,4.8,0.8,10.0,4.8,5.0,3.5
EGGER HIGHLANDS,2025,6.11,1.58,11.89,3.06,4.87,3.62
EL CERRITO,2023,8.7,0.9,6.4,5.3,8.4,3.2
EL CERRITO,2024,10.0,0.9,12.1,3.2,6.2,6.1
EL CERRITO,2025,6.76,1.6,32.36,2.49,7.11,4.98
EMERALD HILLS,2023,3.1,0.3,1.7,2.9,5.1,1.7
EMERALD HILLS,2024,4.0,0.0,3.1,2.0,4.6,3.4
EMERALD HILLS,2025,3.13,0.28,1.99,2.85,6.55,3.13
ENCANTO,2023,5.5,0.7,4.4,3.8,5.3,1.3
ENCANTO,2024,4.4,0.6,2.7,4.9,5.8,1.9
ENCANTO,2025,6.88,0.36,3.92,3.2,4.27,2.37
FAIRMOUNT PARK,2023,3.8,0.0,6.4,4.1,5.1,4.1
FAIRMOUNT PARK,2024,3.5,0.3,4.1,4.5,5.1,1.9
FAIRMOUNT PARK,2025,4.14,1.59,4.14,2.23,4.78,2.23
FAIRMOUNT VILLAGE,2023,8.2,2.4,7.0,4.8,6.5,5.2
FAIRMOUNT VILLAGE,2024,10.0,2.0,3.2,3.7,8.5,3.2
FAIRMOUNT VILLAGE,2025,5.74,1.85,4.26,3.33,5.37,5.18
FOX CANYON,2023,9.0,2.2,2.2,6.0,5.6,5.2
FOX CANYON,2024,9.5,1.7,3.4,2.2,5.6,10.3
FOX CANYON,2025,6.01,1.29,3.86,2.58,7.73,10.73
GASLAMP,2023,146.5,17.8,332.2,39.1,39.1,62.6
GASLAMP,2024,157.2,18.5,275.3,11.4,51.9,130.2
GASLAMP,2025,178.52,16.36,99.57,14.94,39.12,96.73
GOLDEN HILL,2023,2.3,0.7,3.7,5.7,4.8,2.0
GOLDEN HILL,2024,3.9,0.2,4.8,3.9,4.7,2.1
GOLDEN HILL,2025,3.05,0.26,4.96,4.53,6.18,3.83
GRANT HILL,2023,7.9,2.0,4.6,5.4,7.9,6.1
GRANT HILL,2024,5.1,1.3,4.6,5.1,10.7,5.4
GRANT HILL,2025,3.83,1.28,5.11,4.34,6.64,6.64
GRANTVILLE,2023,7.5,2.0,14.7,7.8,10.4,7.5
GRANTVILLE,2024,9.4,1.0,11.9,9.1,8.7,5.1
GRANTVILLE,2025,9.61,1.12,14.73,5.2,7.05,5.04
HARBORVIEW,2023,19.0,1.4,20.4,43.0,17.6,7.0
HARBORVIEW,2024,14.8,4.9,45.8,7.0,17.6,13.4
HARBORVIEW,2025,14.79,0.7,36.62,5.63,19.01,13.38
HILLCREST,2023,10.7,1.4,15.0,4.5,9.5,6.4
HILLCREST,2024,10.9,1.7,16.8,4.0,8.4,7.0
HILLCREST,2025,10.57,1.04,12.9,3.57,8.24,7.1
HORTON PLAZA,2023,7.6,1.8,10.7,4.9,4.0,4.9
HORTON PLAZA,2024,6.7,4.0,9.4,0.9,4.5,6.3
HORTON PLAZA,2025,2.23,0.89,11.17,2.23,4.92,10.72
ISLENAIR,2023,0.0,0.0,1.5,0.0,0.0,0.0
ISLENAIR,2024,0.0,0.0,0.0,1.5,4.5,0.0
ISLENAIR,2025,0.0,0.0,0.0,0.0,0.0,0.0
JAMACHA LOMITA,2023,3.8,0.5,2.9,2.1,1.6,1.3
JAMACHA LOMITA,2024,3.7,0.4,1.8,2.3,2.9,1.4
JAMACHA LOMITA,2025,3.8,0.69,2.76,3.68,3.91,0.81
KEARNY MESA,2023,12.4,2.3,30.4,17.5,20.0,9.3
KEARNY MESA,2024,15.2,2.4,41.7,17.6,21.9,8.5
KEARNY MESA,2025,11.07,1.87,28.67,11.2,15.87,10.94
KENSINGTON,2023,2.3,0.0,3.4,2.8,3.8,1.3
KENSINGTON,2024,2.2,0.6,6.6,1.8,5.3,2.1
KENSINGTON,2025,1.46,0.0,3.81,2.49,3.22,1.61
LA JOLLA,2023,1.9,0.4,7.9,3.2,3.3,1.3
LA JOLLA,2024,2.3,0.4,11.1,2.8,3.1,1.2
LA JOLLA,2025,2.6,0.33,15.88,1.98,2.6,0.89
LA PLAYA,2023,0.6,0.0,2.2,1.0,1.3,0.0
LA PLAYA,2024,0.6,0.0,3.2,1.0,1.6,1.0
LA PLAYA,2025,1.6,0.32,3.2,1.28,3.52,0.0
LAKE MURRAY,2023,2.0,0.3,2.6,1.7,2.9,0.5
LAKE MURRAY,2024,3.1,0.2,1.6,1.5,1.9,0.4
LAKE MURRAY,2025,2.78,0.18,2.66,1.39,3.02,0.3
LINCOLN PARK,2023,8.3,1.6,4.7,5.0,7.7,4.0
LINCOLN PARK,2024,9.3,1.2,5.4,6.3,5.6,3.3
LINCOLN PARK,2025,6.07,1.72,5.73,5.04,6.53,3.67
LINDA VISTA,2023,3.6,0.6,8.8,1.7,4.1,2.8
LINDA VISTA,2024,3.8,0.6,13.2,2.3,4.4,2.3
LINDA VISTA,2025,4.36,0.42,9.61,1.74,4.02,2.71
LITTLE ITALY,2023,8.3,1.0,8.8,21.9,7.1,4.4
LITTLE ITALY,2024,5.1,1.2,15.8,4.7,8.6,5.4
LITTLE ITALY,2025,4.91,0.51,12.19,4.4,6.44,3.39
LOGAN HEIGHTS,2023,7.8,1.0,4.3,6.6,8.0,7.0
LOGAN HEIGHTS,2024,9.8,1.7,3.3,6.2,6.8,7.4
LOGAN HEIGHTS,2025,8.45,1.66,5.14,5.85,7.58,8.77
LOMA PORTAL,2023,2.6,0.0,2.4,1.9,3.4,3.1
LOMA PORTAL,2024,1.7,0.2,7.2,3.6,2.6,4.1
LOMA PORTAL,2025,2.4,0.24,6.72,2.16,3.36,5.76
MARINA,2023,8.4,1.3,10.2,14.0,6.2,3.0
MARINA,2024,5.6,1.0,14.9,1.9,6.5,3.8
MARINA,2025,6.87,1.04,10.49,2.2,4.92,7.51
MIDTOWN,2023,3.1,0.4,5.2,4.0,5.6,3.4
MIDTOWN,2024,4.0,0.9,5.6,5.9,5.4,3.4
MIDTOWN,2025,4.86,0.18,6.3,5.22,5.04,5.4
MIDWAY DISTRICT,2023,13.6,4.2,45.1,6.8,12.2,42.0
MIDWAY DISTRICT,2024,12.0,3.4,52.9,6.3,11.7,48.3
MIDWAY DISTRICT,2025,12.36,4.26,63.17,4.43,8.95,46.29
MIRA MESA,2023,2.5,0.4,5.0,1.7,3.8,1.1
MIRA MESA,2024,2.4,0.2,4.9,1.9,2.7,1.1
MIRA MESA,2025,2.24,0.1,5.25,1.54,2.54,0.86
MIRAMAR,2023,2.9,0.2,8.3,8.2,4.2,1.8
MIRAMAR,2024,2.5,0.4,10.8,4.7,7.0,1.9
MIRAMAR,2025,2.63,0.44,7.59,4.67,6.13,1.31
MIRAMAR RANCH NORTH,2023,0.8,0.1,1.6,0.8,1.8,0.2
MIRAMAR RANCH NORTH,2024,0.8,0.0,1.7,0.4,1.4,0.2
MIRAMAR RANCH NORTH,2025,0.83,0.0,2.03,0.3,1.13,0.38
MISSION BAY,2023,310.6,24.8,409.9,142.9,229.8,627.3
MISSION BAY,2024,354.0,31.1,366.5,93.2,198.8,366.5
MISSION BAY,2025,372.67,49.69,416.15,124.22,161.49,372.67
MISSION BEACH,2023,9.8,0.7,12.4,6.0,6.1,8.3
MISSION BEACH,2024,8.8,1.8,20.1,5.0,8.0,4.5
MISSION BEACH,2025,11.77,1.99,18.23,4.97,8.12,3.98
MISSION HILLS,2023,1.5,0.8,4.9,2.7,2.8,3.1
MISSION HILLS,2024,1.6,0.7,5.0,1.6,4.3,2.7
MISSION HILLS,2025,3.37,0.27,5.53,2.56,4.31,2.16
MISSION VALLEY EAST,2023,11.8,6.3,48.9,9.2,13.2,9.9
MISSION VALLEY EAST,2024,11.3,3.3,40.4,9.3,11.6,8.8
MISSION VALLEY EAST,2025,9.22,3.29,52.14,5.33,11.92,10.2
MISSION VALLEY WEST,2023,36.4,20.0,104.8,15.5,18.1,49.4
MISSION VALLEY WEST,2024,30.1,19.6,121.6,21.2,21.9,48.1
MISSION VALLEY WEST,2025,36.73,10.13,97.21,12.98,20.27,67.76
MORENA,2023,5.5,0.6,8.5,4.3,5.7,7.6
MORENA,2024,4.3,1.0,9.5,4.5,5.0,8.8
MORENA,2025,4.5,0.71,13.27,3.08,5.81,5.33
MOUNTAIN VIEW,2023,8.7,0.9,10.3,4.9,5.8,2.0
MOUNTAIN VIEW,2024,6.6,0.7,7.0,5.1,5.1,3.7
MOUNTAIN VIEW,2025,7.9,0.87,6.59,4.2,6.23,3.41
MT HOPE,2023,6.0,1.1,6.0,3.2,6.8,3.6
MT HOPE,2024,6.4,0.2,2.1,4.3,6.8,2.1
MT HOPE,2025,5.97,1.28,3.41,4.69,7.68,4.05
NESTOR,2023,3.9,0.6,2.5,7.7,3.5,1.6
NESTOR,2024,3.7,0.3,2.1,6.6,4.0,1.7
NESTOR,2025,4.51,0.25,1.97,3.94,3.81,1.4
NORMAL HEIGHTS,2023,5.3,0.5,5.1,4.0,8.4,2.5
NORMAL HEIGHTS,2024,4.7,0.3,5.8,3.2,6.0,1.8
NORMAL HEIGHTS,2025,4.74,0.6,4.14,2.24,2.93,2.24
NORTH CITY,2023,1.4,0.0,4.1,0.6,2.4,0.5
NORTH CITY,2024,1.4,0.0,2.7,0.6,1.1,0.5
NORTH CITY,2025,1.9,0.0,3.16,0.95,0.95,0.0
NORTH CLAIREMONT,2023,3.7,0.6,8.9,1.9,3.0,3.6
NORTH CLAIREMONT,2024,3.8,0.9,12.4,2.4,4.0,4.8
NORTH CLAIREMONT,2025,3.16,0.87,14.58,2.15,2.96,4.5
NORTH PARK,2023,3.9,0.4,5.9,3.9,4.9,2.9
NORTH PARK,2024,4.3,0.6,7.0,3.6,5.5,3.6
NORTH PARK,2025,3.21,0.43,8.82,2.81,4.39,3.17
O'FARRELL,2023,5.2,0.8,1.0,5.0,4.1,2.9
O'FARRELL,2024,9.7,0.0,3.3,2.5,5.0,2.5
O'FARRELL,2025,6.42,0.0,3.11,3.52,3.11,1.04
OAK PARK,2023,4.9,0.7,6.0,3.2,4.7,2.5
OAK PARK,2024,4.9,0.4,5.2,2.1,4.3,2.3
OAK PARK,2025,4.89,0.89,5.85,1.85,4.59,3.04
OCEAN BEACH,2023,9.5,0.9,5.9,5.5,6.7,17.3
OCEAN BEACH,2024,9.1,1.4,8.4,4.6,5.3,21.1
OCEAN BEACH,2025,9.66,1.47,8.86,3.46,5.53,16.39
OCEAN CREST,2023,3.2,0.3,5.3,9.6,3.9,0.9
OCEAN CREST,2024,4.5,0.5,6.0,7.9,4.8,0.7
OCEAN CREST,2025,4.0,0.66,6.37,5.58,2.63,0.92
OLD TOWN,2023,45.1,7.3,29.8,21.0,40.3,66.1
OLD TOWN,2024,33.8,3.2,33.8,16.9,33.0,99.1
OLD TOWN,2025,35.46,8.06,35.46,4.83,35.46,149.07
OTAY MESA,2023,15.7,1.8,30.4,205.6,26.1,5.7
OTAY MESA,2024,9.3,1.4,33.2,194.9,20.0,3.2
OTAY MESA,2025,12.85,2.86,39.99,190.29,18.56,2.86
OTAY MESA WEST,2023,4.1,0.6,2.6,7.8,3.6,1.5
OTAY MESA WEST,2024,5.3,0.7,2.5,5.7,3.8,1.2
OTAY MESA WEST,2025,3.79,0.22,2.62,3.37,3.0,1.46
PACIFIC BEACH,2023,5.4,0.4,6.3,4.6,4.7,5.8
PACIFIC BEACH,2024,5.0,0.4,9.3,4.0,4.9,4.8
PACIFIC BEACH,2025,5.36,0.58,8.95,4.33,3.86,4.41
PALM CITY,2023,8.5,0.9,3.6,13.8,8.0,5.6
PALM CITY,2024,6.5,1.6,2.9,8.9,7.6,7.1
PALM CITY,2025,7.81,0.67,2.23,6.03,6.7,20.76
PARADISE HILLS,2023,3.5,0.2,1.8,1.9,2.5,0.3
PARADISE HILLS,2024,4.1,0.1,2.6,3.1,2.6,0.9
PARADISE HILLS,2025,3.07,0.07,2.29,1.76,2.61,1.18
PARK WEST,2023,4.4,0.5,7.4,8.2,8.6,3.7
PARK WEST,2024,4.0,0.4,7.0,3.9,9.1,7.9
PARK WEST,2025,4.6,0.48,7.75,4.12,8.31,5.17
PETCO PARK,2023,64.4,15.5,35.2,8.4,34.6,58.4
PETCO PARK,2024,75.7,11.9,23.3,8.4,23.3,178.3
PETCO PARK,2025,59.63,3.58,20.87,3.58,28.62,131.78
POINT LOMA HEIGHTS,2023,4.5,0.6,5.4,3.0,3.8,3.0
POINT LOMA HEIGHTS,2024,4.1,0.4,7.6,2.9,3.8,3.2
POINT LOMA HEIGHTS,2025,4.47,0.54,12.2,2.03,3.03,3.16
QUALCOMM,2023,0.0,0.0,222.2,222.2,111.1,333.3
QUALCOMM,2024,333.3,0.0,333.3,222.2,222.2,222.2
QUALCOMM,2025,555.56,0.0,222.22,0.0,0.0,555.56
RANCHO BERNARDO,2023,1.4,0.1,2.2,1.4,1.7,0.2
RANCHO BERNARDO,2024,1.1,0.1,2.0,0.8,2.0,0.1
RANCHO BERNARDO,2025,1.26,0.07,2.36,0.75,2.01,0.11
RANCHO ENCANTADA,2023,2.4,0.3,0.7,0.7,1.0,1.0
RANCHO ENCANTADA,2024,0.3,0.3,0.7,0.3,0.7,0.0
RANCHO ENCANTADA,2025,1.72,0.0,1.03,0.34,2.75,0.0
RANCHO PENASQUITOS,2023,1.8,0.2,1.6,0.9,2.1,0.4
RANCHO PENASQUITOS,2024,1.8,0.1,2.3,0.8,1.6,0.2
RANCHO PENASQUITOS,2025,1.91,0.12,2.28,0.81,1.68,0.25
REDWOOD VILLAGE,2023,4.9,3.2,9.4,3.7,5.6,4.3
REDWOOD VILLAGE,2024,4.5,3.9,9.9,4.7,5.8,2.4
