Neighborhood,Homicide,Kidnapping/Abduction,Sexual Assault,Aggravated Assault,Simple Assault,Intimidation,Other Sex Offenses,Robbery,Arson,Burglary/Breaking & Entering,Larceny,Theft From Motor Vehicle,Motor Vehicle Theft,Fraud/Counterfeiting,Stolen Property Offenses,Vandalism,Drug/Narcotic Offenses,Pornography/Obscene Material,Gambling Offenses,Prostitution,Weapon Law Violations,Animal Cruelty
ADAMS NORTH,0.0,0.0,0.0,1.5,3.0,0.3,0.0,0.5,0.0,2.2,4.0,4.0,2.7,1.5,0.3,4.7,1.7,0.0,0.0,0.0,0.3,0.2
ALLIED GARDENS,0.0,0.1,0.1,1.1,2.6,0.1,0.0,0.0,0.1,1.2,2.0,3.5,2.0,1.3,0.8,2.6,1.1,0.0,0.0,0.0,0.3,0.0
ALTA VISTA,0.0,0.0,0.0,1.1,3.3,0.4,0.0,0.0,0.0,0.7,0.7,2.2,3.0,0.7,0.0,1.9,0.4,0.0,0.0,0.0,0.0,0.0
AZALEA/HOLLYWOOD PARK,0.0,0.0,0.6,3.0,7.3,0.3,0.3,0.9,0.3,0.6,5.5,3.7,4.6,3.0,1.5,4.0,3.4,0.0,0.3,0.0,2.4,0.0
BALBOA PARK,0.0,4.3,14.9,51.2,89.6,10.7,0.0,19.2,2.1,27.7,100.2,49.0,93.8,2.1,6.4,74.6,89.6,0.0,0.0,0.0,2.1,0.0
BARRIO LOGAN,0.0,0.6,0.8,5.1,7.4,0.3,0.0,2.6,0.1,1.1,3.5,3.3,6.1,0.8,1.3,6.6,8.9,0.0,0.1,4.2,2.1,0.0
BAY HO,0.0,0.1,0.2,1.6,2.5,0.4,0.0,0.4,0.0,1.0,3.6,2.7,2.6,1.5,0.1,2.2,1.9,0.0,0.0,0.0,0.6,0.0
BAY PARK,0.0,0.1,0.4,1.6,3.5,0.4,0.0,0.5,0.2,2.8,5.2,4.0,3.5,1.9,0.8,4.2,4.6,0.0,0.0,0.1,0.6,0.0
BAY TERRACES,0.3,0.1,0.3,2.2,3.6,0.5,0.0,0.5,0.1,0.7,1.9,2.3,3.8,2.3,0.3,3.3,0.6,0.0,0.0,0.0,0.5,0.0
BIRDLAND,0.2,0.0,2.9,4.8,9.0,2.4,0.2,0.7,0.0,1.2,3.5,4.5,4.0,1.2,0.4,3.1,1.2,0.0,0.0,0.0,0.9,0.0
BLACK MOUNTAIN RANCH,0.0,0.0,0.1,0.4,2.1,0.5,0.0,0.1,0.0,0.9,2.8,0.9,0.5,1.9,0.0,1.4,0.2,0.1,0.0,0.0,0.0,0.0
BORDER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BROADWAY HEIGHTS,0.0,0.0,0.0,10.3,4.1,2.1,0.0,0.0,0.0,0.0,8.3,4.1,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,2.1,0.0
BURLINGAME,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,2.5,7.4,2.5,1.2,0.0,1.2,2.5,0.0,0.0,0.0,0.0,0.0
CARMEL MOUNTAIN,0.0,0.1,0.5,1.2,3.2,0.3,0.0,0.3,0.0,3.0,14.8,3.9,2.3,1.5,0.7,2.6,1.4,0.0,0.0,0.0,0.1,0.1
CARMEL VALLEY,0.0,0.0,0.1,0.3,1.2,0.5,0.0,0.1,0.0,1.3,3.4,2.2,0.7,1.8,0.0,1.2,0.3,0.0,0.0,0.0,0.1,0.0
CASTLE,0.2,0.3,0.8,4.7,7.0,0.8,0.0,0.8,0.2,1.6,4.0,3.3,2.8,2.3,0.8,6.4,5.2,0.1,0.0,0.0,1.3,0.0
CHEROKEE POINT,0.0,0.0,0.2,4.1,4.7,0.6,0.0,1.1,0.0,3.0,5.3,5.3,4.1,2.3,0.4,7.7,4.1,0.0,0.0,0.0,1.3,0.0
CHOLLAS CREEK,0.2,0.5,0.9,4.3,6.3,0.2,0.0,0.2,0.2,1.8,4.5,2.7,5.4,2.3,1.4,6.8,3.6,0.0,0.0,0.0,1.1,0.0
CHOLLAS VIEW,0.0,0.3,0.5,5.1,12.2,3.2,0.0,1.1,0.5,4.8,5.1,2.7,5.3,3.2,2.4,10.9,4.8,0.0,0.0,0.0,2.9,0.0
CLAIREMONT MESA EAST,0.0,0.3,0.2,2.6,4.3,0.7,0.0,0.9,0.2,1.0,8.2,2.6,3.0,2.3,0.5,3.6,3.1,0.0,0.0,0.0,0.3,0.0
CLAIREMONT MESA WEST,0.0,0.1,0.3,1.2,2.0,0.1,0.0,0.1,0.0,1.2,4.0,2.3,1.4,2.3,0.2,2.2,1.8,0.0,0.0,0.0,0.2,0.0
COLINA DEL SOL,0.0,0.1,0.3,7.0,6.9,0.6,0.0,1.6,0.2,2.3,2.9,3.3,3.2,2.4,0.8,7.1,4.5,0.0,0.1,0.0,0.8,0.0
COLLEGE EAST,0.1,0.0,0.7,3.6,5.9,0.3,0.0,0.3,0.2,1.9,4.9,4.0,4.6,1.7,0.4,4.5,2.1,0.0,0.0,0.0,0.6,0.0
COLLEGE WEST,0.0,0.1,0.7,1.5,1.8,0.1,0.0,0.3,0.0,1.8,2.7,3.2,1.6,0.8,0.3,3.5,1.1,0.0,0.0,0.0,0.4,0.0
CORE-COLUMBIA,0.1,0.2,1.9,12.3,16.6,1.6,0.0,4.4,0.3,4.8,13.3,6.1,16.3,4.2,2.1,13.5,18.8,0.0,0.0,0.1,2.2,0.2
CORRIDOR,0.0,0.0,0.1,4.4,6.6,0.7,0.0,1.0,0.4,2.0,4.4,4.2,4.0,2.4,0.8,10.2,4.1,0.0,0.0,0.0,1.3,0.0
CORTEZ,0.0,0.2,0.6,7.2,9.0,1.0,0.0,0.8,0.0,1.2,9.4,6.4,10.2,2.0,1.2,13.1,5.0,0.0,0.0,0.0,1.4,0.0
DEL CERRO,0.1,0.0,0.4,1.7,2.1,0.3,0.0,0.3,0.0,1.0,1.8,3.2,2.1,2.2,0.3,1.9,0.6,0.0,0.0,0.0,0.1,0.0
DEL MAR HEIGHTS,0.0,0.3,0.4,0.9,1.5,0.4,0.0,0.0,0.0,1.3,3.0,4.1,2.2,2.1,0.2,2.1,0.6,0.0,0.0,0.0,0.3,0.0
EAST VILLAGE,0.2,0.5,2.7,13.1,16.4,2.5,0.0,3.0,0.4,3.4,11.3,4.3,10.8,3.2,1.8,8.2,31.1,0.0,0.0,0.1,3.7,0.1
EGGER HIGHLANDS,0.0,0.3,0.2,3.6,5.2,0.1,0.0,1.7,0.1,1.0,7.5,3.1,5.0,3.3,0.7,4.0,3.3,0.0,0.0,0.0,0.8,0.0
EL CERRITO,0.0,1.1,0.7,6.2,8.7,2.1,0.0,0.9,0.0,4.3,6.4,3.6,5.3,3.4,1.4,8.4,3.2,0.0,0.0,0.4,1.8,0.2
EMERALD HILLS,0.0,0.9,0.9,6.0,3.1,0.3,0.0,0.3,0.3,0.6,1.7,2.0,2.9,3.7,0.6,5.1,1.7,0.0,0.0,0.0,0.9,0.0
ENCANTO,0.2,0.5,0.5,4.6,5.5,0.8,0.2,0.7,0.1,1.0,4.4,1.4,3.8,1.4,1.4,5.3,1.3,0.0,0.0,0.0,1.2,0.0
FAIRMOUNT PARK,0.0,0.0,0.0,2.2,3.8,0.6,0.0,0.0,0.3,5.1,6.4,2.6,4.1,1.9,0.6,5.1,4.1,0.0,0.0,0.0,0.6,0.3
FAIRMOUNT VILLAGE,0.2,0.4,0.7,9.1,8.2,1.5,0.2,2.4,0.4,3.5,7.0,3.5,4.8,3.7,0.4,6.5,5.2,0.0,0.2,0.0,2.2,0.0
FOX CANYON,0.0,0.0,0.9,6.9,9.0,1.3,0.0,2.2,0.0,0.9,2.2,4.3,6.0,1.7,0.0,5.6,5.2,0.0,0.0,0.0,0.0,0.0
GASLAMP,0.7,0.7,12.1,96.0,146.5,6.4,0.0,17.8,2.1,13.5,332.2,20.6,39.1,17.8,3.6,39.1,62.6,0.0,0.0,0.0,12.8,0.0
GOLDEN HILL,0.0,0.2,0.4,2.3,2.3,0.4,0.0,0.7,0.0,1.4,3.7,3.2,5.7,1.1,0.6,4.8,2.0,0.0,0.0,0.0,0.7,0.0
GRANT HILL,0.0,0.3,0.5,5.4,7.9,0.5,0.0,2.0,0.3,0.8,4.6,1.8,5.4,2.6,1.0,7.9,6.1,0.0,0.0,0.0,2.3,0.0
