Neighborhood,Homicide,Kidnapping/Abduction,Sexual Assault,Aggravated Assault,Simple Assault,Intimidation,Other Sex Offenses,Robbery,Arson,Burglary/Breaking & Entering,Larceny,Theft From Motor Vehicle,Motor Vehicle Theft,Fraud/Counterfeiting,Stolen Property Offenses,Vandalism,Drug/Narcotic Offenses,Pornography/Obscene Material,Gambling Offenses,Prostitution,Weapon Law Violations,Animal Cruelty
GRANTVILLE,0.1,0.2,0.9,5.6,7.5,1.8,0.0,2.0,0.2,3.6,14.7,8.4,7.8,4.2,1.0,10.4,7.5,0.0,0.0,0.0,0.9,0.2
HARBORVIEW,0.0,0.0,0.7,7.0,19.0,2.8,0.0,1.4,0.0,2.1,20.4,5.6,43.0,8.5,2.1,17.6,7.0,0.0,0.0,0.0,2.1,0.0
HILLCREST,0.0,0.1,0.8,5.7,10.7,1.5,0.0,1.4,0.3,3.4,15.0,5.8,4.5,2.3,0.7,9.5,6.4,0.0,0.0,0.1,0.5,0.1
HORTON PLAZA,0.0,0.0,0.5,8.5,7.6,1.8,0.0,1.8,0.5,1.8,10.7,1.8,4.9,2.2,0.9,4.0,4.9,0.0,0.0,0.0,0.5,0.0
ISLENAIR,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAMACHA LOMITA,0.0,0.2,0.4,2.1,3.8,0.9,0.0,0.5,0.0,1.0,2.9,2.1,2.1,3.0,0.5,1.6,1.3,0.0,0.0,0.0,0.6,0.0
KEARNY MESA,0.0,0.5,1.5,7.5,12.4,2.9,0.0,2.3,0.8,13.2,30.4,24.9,17.5,10.3,1.1,20.0,9.3,0.0,0.0,0.5,0.9,0.0
KENSINGTON,0.2,0.0,0.2,1.6,2.3,0.3,0.0,0.0,0.0,2.3,3.4,5.7,2.8,1.8,0.0,3.8,1.3,0.0,0.0,0.0,0.3,0.0
LA JOLLA,0.0,0.1,0.4,0.8,1.9,0.3,0.1,0.4,0.0,3.0,7.9,3.9,3.2,2.1,0.2,3.3,1.3,0.0,0.0,0.0,0.1,0.0
LA PLAYA,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.0,0.0,1.6,2.2,0.3,1.0,1.6,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0
LAKE MURRAY,0.0,0.1,0.5,1.3,2.0,0.2,0.0,0.3,0.0,0.6,2.6,2.5,1.7,1.9,0.1,2.9,0.5,0.1,0.0,0.0,0.1,0.0
LINCOLN PARK,0.1,0.5,0.9,8.5,8.3,1.2,0.1,1.6,0.3,4.1,4.7,2.6,5.0,3.1,1.0,7.7,4.0,0.0,0.0,0.0,2.2,0.0
LINDA VISTA,0.0,0.1,0.6,2.5,3.6,0.9,0.0,0.6,0.0,1.3,8.8,3.0,1.7,1.6,0.0,4.1,2.8,0.0,0.0,0.0,0.5,0.0
LITTLE ITALY,0.0,0.0,0.9,3.6,8.3,1.0,0.0,1.0,0.3,3.4,8.8,4.9,21.9,3.4,0.5,7.1,4.4,0.0,0.0,0.0,0.3,0.0
LOGAN HEIGHTS,0.0,0.3,1.3,8.4,7.8,1.0,0.0,1.0,0.1,1.5,4.3,2.3,6.6,2.9,1.4,8.0,7.0,0.0,0.0,0.0,3.8,0.1
LOMA PORTAL,0.0,0.0,0.5,1.4,2.6,0.5,0.0,0.0,0.2,3.4,2.4,5.8,1.9,2.6,0.0,3.4,3.1,0.0,0.0,0.0,0.0,0.0
MARINA,0.0,0.3,1.0,5.1,8.4,1.6,0.0,1.3,0.1,1.2,10.2,4.4,14.0,3.2,0.5,6.2,3.0,0.0,0.0,0.0,0.3,0.0
MIDTOWN,0.0,0.2,0.0,2.2,3.1,0.4,0.0,0.4,0.0,2.2,5.2,6.8,4.0,2.5,1.6,5.6,3.4,0.0,0.0,0.0,0.2,0.2
MIDWAY DISTRICT,0.0,0.8,1.5,8.6,13.6,1.8,0.0,4.2,0.3,4.4,45.1,7.0,6.8,9.7,7.2,12.2,42.0,0.0,0.0,0.1,2.7,0.0
MIRA MESA,0.0,0.1,0.3,1.6,2.5,0.2,0.0,0.4,0.1,0.9,5.0,2.4,1.7,1.8,0.1,3.8,1.1,0.0,0.0,0.0,0.2,0.0
MIRAMAR,0.0,0.2,0.4,1.8,2.9,0.7,0.0,0.2,0.3,8.0,8.3,6.1,8.2,2.5,0.9,4.2,1.8,0.0,0.0,0.0,0.6,0.0
MIRAMAR RANCH NORTH,0.0,0.0,0.0,0.2,0.8,0.1,0.0,0.1,0.0,1.3,1.6,2.6,0.8,1.4,0.0,1.8,0.2,0.0,0.0,0.0,0.0,0.1
MISSION BAY,18.6,6.2,31.1,285.7,310.6,37.3,0.0,24.8,0.0,49.7,409.9,360.3,142.9,80.8,80.8,229.8,627.3,0.0,0.0,0.0,87.0,0.0
MISSION BEACH,0.2,0.7,0.8,8.3,9.8,1.5,0.0,0.7,0.0,9.8,12.4,3.3,6.0,2.3,1.2,6.1,8.3,0.0,0.0,0.0,2.8,0.0
MISSION HILLS,0.0,0.1,0.3,1.1,1.5,0.5,0.0,0.8,0.4,2.6,4.9,6.5,2.7,1.9,0.4,2.8,3.1,0.0,0.0,0.0,0.3,0.1
MISSION VALLEY EAST,0.0,0.2,1.1,5.7,11.8,1.8,0.0,6.3,0.4,5.1,48.9,13.1,9.2,4.0,1.3,13.2,9.9,0.0,0.0,0.5,1.1,0.0
MISSION VALLEY WEST,0.0,1.3,2.5,22.2,36.4,3.8,0.3,20.0,0.3,6.3,104.8,18.1,15.5,10.8,6.0,18.1,49.4,0.0,0.0,0.3,2.2,0.0
MORENA,0.2,0.2,0.6,3.1,5.5,1.2,0.0,0.6,0.1,6.2,8.5,3.3,4.3,2.0,1.2,5.7,7.6,0.0,0.0,0.0,0.7,0.0
MOUNTAIN VIEW,0.1,0.4,0.8,5.5,8.7,0.9,0.0,0.9,0.1,1.1,10.3,2.7,4.9,2.1,0.9,5.8,2.0,0.0,0.0,0.0,1.5,0.0
MT HOPE,0.0,0.4,0.9,3.6,6.0,0.4,0.0,1.1,0.2,0.2,6.0,4.3,3.2,2.4,0.6,6.8,3.6,0.0,0.0,0.0,1.3,0.0
NESTOR,0.1,0.2,0.0,2.1,3.9,0.3,0.0,0.6,0.1,1.0,2.5,2.5,7.7,1.8,0.3,3.5,1.6,0.0,0.0,0.0,0.4,0.0
NORMAL HEIGHTS,0.0,0.2,0.2,3.6,5.3,0.5,0.0,0.5,0.2,2.9,5.1,4.6,4.0,2.4,0.5,8.4,2.5,0.0,0.0,0.0,0.7,0.1
NORTH CITY,0.0,0.0,0.2,0.2,1.4,0.3,0.2,0.0,0.0,2.2,4.1,1.1,0.6,2.4,0.2,2.4,0.5,0.2,0.0,0.0,0.5,0.0
NORTH CLAIREMONT,0.1,0.3,0.7,2.2,3.7,0.1,0.0,0.6,0.0,1.3,8.9,3.6,1.9,2.3,0.5,3.0,3.6,0.0,0.0,0.0,0.6,0.0
NORTH PARK,0.0,0.1,0.4,2.0,3.9,0.5,0.0,0.4,0.1,2.2,5.9,3.5,3.9,1.7,0.2,4.9,2.9,0.0,0.0,0.0,0.3,0.0
OAK PARK,0.0,0.1,0.2,3.6,4.9,0.6,0.0,0.7,0.2,1.3,6.0,2.6,3.2,2.9,0.7,4.7,2.5,0.0,0.0,0.0,1.2,0.0
OCEAN BEACH,0.1,0.3,0.3,6.4,9.5,1.1,0.0,0.9,0.1,2.5,5.9,2.9,5.5,2.1,0.8,6.7,17.3,0.0,0.0,0.0,1.1,0.1
OCEAN CREST,0.0,0.1,0.3,2.2,3.2,0.1,0.0,0.3,0.1,1.4,5.3,4.4,9.6,2.0,0.9,3.9,0.9,0.0,0.0,0.0,0.2,0.1
O'FARRELL,0.0,0.2,0.8,5.6,5.2,0.2,0.0,0.8,0.2,1.7,1.0,2.3,5.0,3.9,1.9,4.1,2.9,0.0,0.0,0.0,1.7,0.0
OLD TOWN,0.0,0.8,2.4,25.0,45.1,3.2,0.8,7.3,0.8,16.1,29.8,21.0,21.0,6.5,4.8,40.3,66.1,0.0,0.0,0.8,8.1,0.0
OTAY MESA,0.4,0.4,2.1,7.1,15.7,4.3,0.0,1.8,0.4,10.4,30.4,31.8,205.6,7.1,6.4,26.1,5.7,0.0,0.0,0.0,2.5,0.0
OTAY MESA WEST,0.0,0.1,0.9,2.9,4.1,0.6,0.0,0.6,0.0,0.5,2.6,2.2,7.8,2.1,0.6,3.6,1.5,0.0,0.0,0.0,0.7,0.0
PACIFIC BEACH,0.0,0.1,0.8,2.3,5.4,0.9,0.0,0.4,0.1,2.6,6.3,3.0,4.6,1.9,0.5,4.7,5.8,0.0,0.0,0.0,0.5,0.0
PALM CITY,0.2,0.2,0.5,6.5,8.5,0.7,0.0,0.9,0.2,1.1,3.6,3.1,13.8,2.7,1.8,8.0,5.6,0.0,0.0,0.0,0.7,0.0
PARADISE HILLS,0.0,0.2,0.3,1.8,3.5,0.3,0.1,0.2,0.0,0.5,1.8,2.6,1.9,2.0,0.2,2.5,0.3,0.0,0.0,0.0,0.5,0.0
PARK WEST,0.0,0.1,0.5,3.7,4.4,0.7,0.0,0.5,0.2,2.3,7.4,5.3,8.2,2.5,0.7,8.6,3.7,0.0,0.0,0.0,0.2,0.0
PETCO PARK,0.6,1.8,1.8,34.6,64.4,1.8,0.0,15.5,1.2,6.0,35.2,8.9,8.4,4.2,1.2,34.6,58.4,0.0,0.0,0.0,5.4,0.0
POINT LOMA HEIGHTS,0.1,0.2,0.5,2.0,4.5,0.6,0.0,0.6,0.1,1.7,5.4,3.8,3.0,1.4,0.2,3.8,3.0,0.0,0.0,0.0,0.2,0.0
QUALCOMM,0.0,0.0,0.0,111.1,0.0,0.0,0.0,0.0,0.0,0.0,222.2,111.1,222.2,0.0,0.0,111.1,333.3,0.0,0.0,0.0,111.1,0.0
RANCHO BERNARDO,0.0,0.0,0.1,0.5,1.4,0.3,0.0,0.1,0.0,1.1,2.2,2.5,1.4,1.5,0.0,1.7,0.2,0.0,0.0,0.0,0.1,0.0
RANCHO ENCANTADA,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.3,0.0,0.3,0.7,0.0,0.7,1.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
RANCHO PENASQUITOS,0.0,0.1,0.3,0.6,1.8,0.4,0.1,0.2,0.0,0.8,1.6,2.6,0.9,1.6,0.1,2.1,0.4,0.0,0.0,0.0,0.0,0.0
REDWOOD VILLAGE,0.2,0.0,0.4,3.4,4.9,1.1,0.2,3.2,0.0,1.3,9.4,5.2,3.7,1.3,1.7,5.6,4.3,0.0,0.0,0.0,0.6,0.0
RIDGEVIEW/WEBSTER,0.0,0.4,0.8,5.1,9.6,0.4,0.0,1.4,0.4,3.5,6.5,3.1,3.5,3.5,0.2,5.5,3.5,0.0,0.0,0.0,2.7,0.0
ROLANDO,0.0,0.1,0.9,5.8,9.0,0.9,0.0,2.5,0.3,2.5,8.6,5.8,6.5,4.2,0.6,9.7,4.8,0.0,0.0,0.3,1.5,0.0
ROLANDO PARK,0.0,0.0,0.0,4.2,6.4,1.6,0.0,0.8,0.0,2.9,5.6,3.5,4.0,1.9,0.5,5.0,1.6,0.0,0.0,0.8,1.6,0.0
ROSEVILLE / FLEET RIDGE,0.0,0.3,0.3,1.6,4.6,0.2,0.0,0.6,0.0,1.4,4.0,1.0,1.9,3.0,0.2,3.2,1.9,0.0,0.0,0.0,0.2,0.0
SABRE SPRINGS,0.0,0.1,0.0,0.5,1.4,0.2,0.0,0.0,0.0,0.9,1.4,1.8,2.5,0.9,0.2,1.5,0.5,0.0,0.0,0.0,0.2,0.0
SAN CARLOS,0.0,0.1,0.3,0.7,1.8,0.2,0.0,0.0,0.1,1.2,2.0,3.8,1.6,1.9,0.2,1.7,0.7,0.0,0.0,0.0,0.2,0.0
SAN PASQUAL,0.0,0.0,0.0,8.4,16.8,0.0,0.0,0.0,0.0,0.0,4.2,8.4,4.2,0.0,8.4,8.4,8.4,0.0,0.0,0.0,8.4,0.0
SAN YSIDRO,0.1,0.1,0.2,3.8,6.5,0.9,0.0,2.0,0.2,2.7,32.0,4.8,18.0,2.7,1.4,7.9,7.2,0.0,0.0,0.0,1.0,0.0
SCRIPPS RANCH,0.0,0.1,0.1,0.7,1.2,0.2,0.0,0.2,0.0,1.2,2.5,2.4,1.2,1.7,0.1,1.6,0.2,0.0,0.0,0.0,0.2,0.0
SERRA MESA,0.0,0.1,0.4,1.7,2.9,0.7,0.0,0.3,0.0,1.1,2.9,4.8,3.5,2.1,0.3,3.1,1.2,0.0,0.0,0.0,0.1,0.0
SHELLTOWN,0.3,0.5,1.6,2.2,3.3,0.0,0.0,0.8,0.3,0.3,2.2,3.5,3.8,2.2,0.3,2.4,2.2,0.0,0.0,0.3,0.5,0.3
SHERMAN HEIGHTS,0.0,0.3,0.9,6.8,8.0,0.6,0.0,1.8,0.0,1.5,5.9,3.0,6.5,2.1,1.5,9.2,10.0,0.0,0.0,0.0,2.4,0.3
SKYLINE,0.3,0.3,0.4,4.6,3.2,0.6,0.0,0.4,0.0,1.7,2.5,2.5,3.6,2.6,0.4,2.9,2.5,0.0,0.0,0.0,0.6,0.0
SORRENTO VALLEY,0.0,0.0,0.0,2.3,5.2,0.8,0.0,0.3,0.0,13.2,13.7,11.0,10.5,4.2,2.0,9.7,2.5,0.0,0.0,0.3,1.0,0.0
SOUTH PARK,0.0,0.0,0.7,0.8,3.6,0.2,0.0,1.0,0.0,1.2,4.6,3.8,2.6,1.3,0.7,3.1,1.2,0.0,0.0,0.0,0.5,0.0
SOUTHCREST,0.0,0.0,0.9,5.4,6.9,0.0,0.2,1.7,0.2,1.3,3.0,1.7,5.2,1.7,0.7,8.4,1.5,0.0,0.0,0.0,1.3,0.0
STOCKTON,0.0,0.4,1.7,7.6,8.7,0.7,0.0,1.0,0.0,2.4,3.5,2.4,4.2,2.4,0.7,5.2,6.9,0.0,0.0,0.0,1.7,0.0
SUNSET CLIFFS,0.0,0.0,0.0,1.0,2.7,0.0,0.0,0.0,0.3,0.3,2.0,3.3,1.7,0.3,0.0,2.3,2.3,0.0,0.0,0.0,0.7,0.0
SWAN CANYON,0.0,0.0,0.5,3.4,7.5,0.2,0.0,0.5,0.5,0.7,3.4,3.9,4.8,1.7,0.5,4.4,1.9,0.0,0.2,0.0,0.2,0.0
TALMADGE,0.0,0.1,0.4,2.0,5.8,0.8,0.0,0.5,0.1,2.5,6.6,7.9,3.4,1.9,0.7,5.8,3.3,0.0,0.0,0.1,0.7,0.0
TERALTA EAST,0.0,0.0,0.6,9.2,6.3,0.8,0.0,1.2,0.3,3.2,5.1,4.2,4.7,2.9,1.4,8.9,13.7,0.0,0.3,0.0,1.7,0.0
TERALTA WEST,0.0,0.4,0.6,8.1,7.5,0.9,0.2,1.7,0.0,1.3,3.9,3.9,6.1,2.0,1.3,7.9,11.2,0.0,0.0,0.0,2.2,0.0
TIERRASANTA,0.1,0.1,0.3,1.2,2.0,0.3,0.0,0.0,0.0,0.7,2.1,2.3,0.9,1.8,0.2,1.9,0.3,0.0,0.0,0.0,0.1,0.0
TIJUANA RIVER VALLEY,0.0,0.0,0.0,0.0,31.8,0.0,0.0,0.0,15.9,0.0,15.9,31.8,15.9,15.9,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TORREY HIGHLANDS,0.0,0.3,0.3,0.7,1.6,1.0,0.0,0.0,0.0,0.9,2.8,1.6,0.9,1.5,0.2,2.0,0.4,0.3,0.0,0.0,0.4,0.0
TORREY PINES,0.0,0.0,0.4,0.2,0.9,0.1,0.0,0.0,0.0,0.8,1.5,1.6,0.6,0.5,0.0,0.7,0.4,0.0,0.0,0.0,0.1,0.0
TORREY PRESERVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNIVERSITY CITY,0.0,0.1,0.4,1.0,2.1,0.2,0.0,0.3,0.0,1.8,7.8,4.2,2.1,2.2,0.3,3.0,1.0,0.0,0.0,0.0,0.1,0.0
UNIVERSITY HEIGHTS,0.1,0.1,0.1,1.9,2.5,0.3,0.0,0.3,0.1,2.2,4.4,3.4,3.1,2.0,0.4,3.9,1.1,0.0,0.0,0.1,0.0,0.0
VALENCIA PARK,0.0,0.1,0.6,5.3,6.8,0.6,0.0,0.2,0.4,1.1,2.9,2.7,4.3,1.7,1.3,5.4,2.2,0.0,0.0,0.0,1.3,0.1
WOODED AREA,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.3,2.0,3.2,1.4,0.3,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0
